signal,global_plv,high_R_plv,non_high_R_plv,high_minus_background,best_lag_days,best_lag_plv,p_circular,fdr_q
combo_Saturn_Uranus_Moon,0.011936969953831063,0.12905371186533052,0.009429674356066493,0.11962403750926402,57,0.16990558975968958,0.3598200899550225,0.7878404547726138
combo_Saturn_Neptune_Moon,0.008468397591591348,0.12658963864091538,0.002790045309138592,0.12379959333177679,20,0.14566381135359327,0.351824087956022,0.7878404547726138
combo_Mercury_Venus_Sun,0.01998024229351861,0.2003107011048045,0.02170082035170568,0.17860988075309883,108,0.34440953425305887,0.41829085457271364,0.7891466637815113
combo_Jupiter_Saturn_Pluto,0.07329061943073271,0.16748537493353888,0.08000902644600313,0.08747634848753574,67,0.31228982609579425,0.4302848575712144,0.8034911115870637
combo_Jupiter_Uranus_Pluto,0.0532203729526948,0.2025008091708533,0.05241435429129386,0.15008645487955946,153,0.3472754688309554,0.43728135932033985,0.808307967228507
combo_Saturn_Uranus,0.03359630143106383,0.15485634206310173,0.02776225920097176,0.12709408286212998,92,0.29421802875180486,0.45577211394302847,0.8177087926624923
combo_Mercury_Saturn,0.024003503247752883,0.12008155942375794,0.02386542495743713,0.09621613446632081,63,0.1919306708321846,0.4522738630684658,0.8177087926624923
combo_Venus_Neptune_Moon,0.0036415573883124075,0.1004367706296525,0.0024880325716688588,0.09794873805798365,84,0.207120190715289,0.4542728635682159,0.8177087926624923
combo_Mars_Jupiter_Sun,0.0806961354479196,0.27187523021625154,0.09807741039540833,0.1737978198208432,183,0.32502407375032616,0.4642678660669665,0.8248642668956784
combo_Uranus_Neptune_Pluto,0.017101484149468157,0.17321890836255782,0.014307160897543287,0.15891174746501455,47,0.30743587450368837,0.46926536731634183,0.8257265597970245
combo_Mercury_Jupiter_Uranus,0.06612647559669711,0.16668098572045878,0.0717136709131893,0.09496731480726948,154,0.2739619226717449,0.4782608695652174,0.8274023365675653
Moon,0.0004631577845250766,0.039437775052597705,0.0025589396372606345,0.03687883541533707,41,0.05342210102103403,0.47926036981509246,0.8274023365675653
combo_Mars_Neptune_Sun,0.04371781159979549,0.26715327400938504,0.03739990775870677,0.22975336625067827,176,0.29988623959322586,0.5157421289355323,0.8279018385544071
combo_Mercury_Mars_Neptune,0.01496242331221925,0.20092692645995314,0.006826271578527768,0.19410065488142536,240,0.34462601523320235,0.49525237381309345,0.8279018385544071
Saturn,0.011643026511529828,0.143535538486592,0.004699955972129873,0.13883558251446212,201,0.18614909867556947,0.512743628185907,0.8279018385544071
combo_Uranus_Neptune,0.0054337017736625385,0.14136194818399905,0.002129617363323467,0.1392323308206756,178,0.24711305417194504,0.4987506246876562,0.8279018385544071
Neptune,0.002855380046794661,0.1362224214999942,0.004423875294696488,0.1317985462052977,192,0.2484846793047601,0.5097451274362819,0.8279018385544071
combo_Jupiter_Neptune_Moon,0.06258549582057134,0.1265081685136672,0.07007416205592974,0.056434006457737454,177,0.2545463899638813,0.4892553723138431,0.8279018385544071
combo_Mercury_Uranus_Moon,0.013817474312402527,0.09751853773467888,0.01795129750807885,0.07956724022660003,122,0.20800266366444659,0.5067466266866567,0.8279018385544071
combo_Mercury_Moon,0.016561122904299633,0.07913039424682271,0.021044152839242276,0.05808624140758043,187,0.13176393067673806,0.5152423788105946,0.8279018385544071
combo_Mars_Pluto_Moon,0.011938087408109744,0.17945891483366405,0.016024569498935073,0.16343434533472898,240,0.21809633979234422,0.5322338830584707,0.837940004356796
Uranus,0.003975237352790927,0.13391837299082768,0.008242457160747285,0.1256759158300804,160,0.25338514171179394,0.5282358820589705,0.837940004356796
combo_Mercury_Venus_Uranus,0.016855731304385613,0.12184361183287087,0.013765564205770147,0.10807804762710073,50,0.29651268563011396,0.5357321339330335,0.837940004356796
combo_Mercury_Jupiter_Neptune,0.06676114380055165,0.13137400968875174,0.0734620185439155,0.057911991144836236,49,0.2648131697953531,0.5412293853073463,0.8393642161969863
combo_Mercury_Mars_Moon,0.019492890865370847,0.18287855524087182,0.01779682073405023,0.1650817345068216,187,0.27105177945447007,0.5467266366816592,0.840764491703728
combo_Saturn_Pluto_Sun,0.032528679162942296,0.23705007324404542,0.02364953518270995,0.21340053806133547,238,0.4098954555471342,0.567216391804098,0.8468814373301154
combo_Mars_Saturn_Moon,0.006735656374193826,0.1695970993336262,0.0026475045291113786,0.16694959480451482,155,0.23798375351396547,0.5692153923038481,0.8468814373301154
combo_Mercury_Jupiter,0.06523461579392308,0.14084213331909243,0.07209255071177012,0.06874958260732231,131,0.2219578490260141,0.5647176411794103,0.8468814373301154
combo_Mercury_Saturn_Moon,0.023348092928453437,0.08305451761218545,0.02579220706545165,0.0572623105467338,191,0.19006312201149506,0.5582208895552224,0.8468814373301154
combo_Uranus_Moon,0.002589939468873951,0.08508217565876204,0.005532528309589584,0.07954964734917246,148,0.20323566022947315,0.5777111444277861,0.8525898341152005
combo_Mercury_Pluto_Sun,0.03247094198614281,0.204998155444109,0.025110621343665714,0.17988753410044328,236,0.34918918999712567,0.584207896051974,0.8552803598200899
