lag_days,plv,signal
67,0.15319633123350412,Venus
68,0.15355612863350407,Venus
69,0.15407067706317867,Venus
70,0.15473443723755986,Venus
71,0.15553220444301594,Venus
72,0.1564418586694835,Venus
73,0.15743797111429522,Venus
74,0.15849461206334625,Venus
75,0.15958610126673345,Venus
76,0.1606867106565584,Venus
77,0.16176982022032596,Venus
78,0.16280739263493507,Venus
79,0.16376994227702812,Venus
80,0.16462817371817168,Venus
81,0.1653559138845992,Venus
82,0.16593228705047577,Venus
83,0.16634347060832075,Venus
84,0.16658276011030268,Venus
85,0.16664972125664135,Venus
86,0.166547866238111,Venus
87,0.16628296955194197,Venus
88,0.16586116795233163,Venus
89,0.16528848689361708,Venus
90,0.16457025392398666,Venus
91,0.1637118365571266,Venus
92,0.16271907889658158,Venus
93,0.1615995909227004,Venus
94,0.1603632320623948,Venus
95,0.15902221361020094,Venus
96,0.15759000560776246,Venus
97,0.15608147776463815,Venus
98,0.15451219358074308,Venus
99,0.15289802571409405,Venus
100,0.151254201088485,Venus
101,0.14959495596201125,Venus
102,0.147932544070141,Venus
103,0.14627660116516658,Venus
104,0.14463289063244217,Venus
105,0.1430030488823362,Venus
106,0.1413845930581544,Venus
107,0.13977255703246078,Venus
108,0.13816104410325786,Venus
109,0.13654490717667608,Venus
110,0.13491957880091524,Venus
111,0.1332803828853063,Venus
112,0.13162125213858056,Venus
113,0.12993488248536814,Venus
114,0.12821379251954493,Venus
115,0.12645231499814835,Venus
116,0.12464826033881087,Venus
117,0.12280352378419798,Venus
118,0.12092982836725592,Venus
119,0.11904806406185159,Venus
120,0.11718009523041274,Venus
121,0.1153450880638664,Venus
122,0.11355665192771126,Venus
123,0.11182144924660418,Venus
124,0.11013711717780443,Venus
125,0.10849337047736028,Venus
126,0.10687539357364345,Venus
127,0.10526911995084245,Venus
128,0.10366288872833225,Venus
129,0.10204762453577582,Venus
130,0.10041750651707305,Venus
131,0.09877698834374145,Venus
132,0.0971349962962244,Venus
133,0.09550099086370731,Venus
134,0.09388310867811725,Venus
135,0.09228440304467231,Venus
136,0.09069966772548771,Venus
137,0.08911457428275657,Venus
138,0.08750895168393125,Venus
139,0.08586220491611546,Venus
140,0.08415738086303429,Venus
141,0.08238258141195495,Venus
142,0.08053043518636352,Venus
143,0.07859716536824245,Venus
144,0.07658198709622356,Venus
145,0.0744870961029656,Venus
146,0.0723183277771429,Venus
147,0.07008613934599228,Venus
148,0.06780727237324632,Venus
149,0.0655042362323094,Venus
150,0.06320376879687645,Venus
151,0.06093663529926012,Venus
152,0.05873664081517634,Venus
153,0.056639568707026966,Venus
154,0.05468159457277551,Venus
155,0.05289795642153787,Venus
156,0.051320938215299844,Venus
157,0.04997825980180364,Venus
158,0.0488910408603597,Venus
159,0.04807326730630497,Venus
160,0.04753151163367804,Venus
161,0.047265698885822806,Venus
162,0.04726598506844034,Venus
163,0.047512974711712966,Venus
164,0.04797865098107099,Venus
165,0.04862747050474124,Venus
166,0.04941179839912653,Venus
167,0.05027150852241243,Venus
168,0.05113894436549252,Venus
169,0.05194450467807023,Venus
170,0.05262304835005277,Venus
171,0.053122744178233906,Venus
172,0.0534122970651253,Venus
173,0.053484449430098495,Venus
174,0.05335158875245812,Venus
175,0.0530381805367733,Venus
176,0.05257234086654331,Venus
177,0.05198177929904786,Venus
178,0.05128911137334748,Venus
179,0.05050501035786867,Venus
180,0.04963170970840615,Venus
181,0.048668829496673165,Venus
182,0.04761489681483017,Venus
