signal,lag_days,residual_plv
Venus,21,0.20433171361611385
Venus,22,0.20605364186229155
Venus,23,0.20756916032311865
Venus,24,0.2088768551051432
Venus,25,0.2099804971551399
Venus,26,0.21088846823929336
Venus,27,0.2116133389247766
Venus,28,0.21217113584897898
Venus,29,0.21258064722017336
Venus,30,0.21286236246325396
Venus,31,0.2130373354149102
Venus,32,0.2131257229386149
Venus,33,0.2131454515451648
Venus,34,0.2131111374949691
Venus,35,0.2130339521045919
Venus,36,0.21292228295476412
Venus,37,0.21278306863794066
Venus,38,0.21262287344002773
Venus,39,0.21244869806794645
Venus,40,0.21226828552802127
Venus,41,0.21209055501081145
Venus,42,0.21192586769124816
Venus,43,0.21178650999501342
Venus,44,0.211686775187888
Venus,45,0.21164301562698898
Venus,46,0.21167298363097312
Venus,47,0.21179517081331384
Venus,48,0.21202815445673948
Venus,49,0.21239319050397754
Venus,50,0.212915057171416
Venus,51,0.21361945484416747
Venus,52,0.21453093950563779
Venus,53,0.21567062701146206
Venus,54,0.21705203787649563
Venus,55,0.2186764891520825
Venus,56,0.22052996846846257
Venus,57,0.22258365875347175
Venus,58,0.22479745478228694
Venus,59,0.2271248484703539
Venus,60,0.22951733687382334
Venus,61,0.23192794888752666
Venus,62,0.2343133573022413
Venus,63,0.2366345473733602
Venus,64,0.23885449400206937
Venus,65,0.24093682579716216
Venus,66,0.24284748215692897
Venus,67,0.2445566671144923
Venus,68,0.2460410207877812
Venus,69,0.24728626500270917
Venus,70,0.24828873361944637
Venus,71,0.2490544596444445
Venus,72,0.24959534148796877
Venus,73,0.249924919443572
Venus,74,0.250055603222686
Venus,75,0.24999837602477762
Venus,76,0.24976347640664914
Venus,77,0.24936161476521673
Venus,78,0.24880442987780185
Venus,79,0.24810457524637228
Venus,80,0.24727387113956056
Venus,81,0.24632090278255628
Venus,82,0.24524948450973916
Venus,83,0.24405852063097297
Venus,84,0.24274313819452498
Venus,85,0.24129701498922446
Venus,86,0.23971471024299987
Venus,87,0.23799337012854208
Venus,88,0.23613352708592417
Venus,89,0.23413932635603363
Venus,90,0.23201830037150692
Venus,91,0.2297809618571245
Venus,92,0.22744011026236802
Venus,93,0.22501008414082255
Venus,94,0.22250582712870037
Venus,95,0.219942692371275
Venus,96,0.21733661199604432
Venus,97,0.21470358934585795
Venus,98,0.21205880529886806
Venus,99,0.20941586893197697
Venus,100,0.206786293469824
Venus,101,0.2041794884811135
Venus,102,0.20160327273372883
Venus,103,0.1990649153882245
Venus,104,0.1965722440311135
Venus,105,0.1941343705275863
Venus,106,0.1917613274532356
Venus,107,0.18946311001118457
Venus,108,0.18724855148099626
Venus,109,0.18512471688165694
Venus,110,0.18309585042235108
Venus,111,0.18116226749806827
Venus,112,0.17931874120472352
Venus,113,0.17755419538473585
Venus,114,0.17585220158322054
Venus,115,0.17419353803316825
Venus,116,0.1725589228920308
Venus,117,0.17093284174709616
Venus,118,0.16930283486640071
Venus,119,0.16766023582550035
Venus,120,0.16600110461497267
Venus,121,0.16432536603011133
Venus,122,0.16263568474616916
Venus,123,0.16093778391622326
Venus,124,0.15923941543348497
Venus,125,0.157547739639547
Venus,126,0.15586488838502202
Venus,127,0.15418602266262435
Venus,128,0.1524997729176712
Venus,129,0.15079158172980825
Venus,130,0.14904695050017713
Venus,131,0.14725568566045466
Venus,132,0.14541294130044624
Venus,133,0.14352068077422284
Venus,134,0.14158842471825064
Venus,135,0.13963347422266895
Venus,136,0.13767837001699473
Venus,137,0.13574640794584178
Venus,138,0.13385583763239695
Venus,139,0.13201719717556742
Venus,140,0.13023355132737224
Venus,141,0.12850369657930805
Venus,142,0.12682453611880992
Venus,143,0.1251934000413764
Venus,144,0.12360832049579648
Venus,145,0.12206849665487562
Venus,146,0.12057308622311672
Venus,147,0.11912067638298995
