bin,phi_center_rad,phi_center_deg,n,escape_rate,composite
16,-0.2617993877991496,-15.000000000000009,477,0.20964360587002095,All_NonSolar_Major
17,-0.0872664625997166,-5.000000000000007,443,0.17607223476297967,All_NonSolar_Major
18,0.08726646259971638,4.999999999999995,477,0.15513626834381553,All_NonSolar_Major
19,0.26179938779914935,14.999999999999996,495,0.1595959595959596,All_NonSolar_Major
20,0.43633231299858233,24.999999999999996,463,0.19654427645788336,All_NonSolar_Major
21,0.6108652381980153,35.0,448,0.15848214285714285,All_NonSolar_Major
22,0.7853981633974483,45.0,408,0.1568627450980392,All_NonSolar_Major
23,0.959931088596881,54.999999999999986,419,0.16706443914081145,All_NonSolar_Major
24,1.1344640137963138,64.99999999999997,453,0.15011037527593818,All_NonSolar_Major
25,1.308996938995747,74.99999999999999,502,0.18127490039840638,All_NonSolar_Major
26,1.4835298641951802,85.0,492,0.17479674796747968,All_NonSolar_Major
27,1.658062789394613,95.0,452,0.16150442477876106,All_NonSolar_Major
28,1.8325957145940457,104.99999999999999,496,0.13709677419354838,All_NonSolar_Major
29,2.007128639793479,115.0,485,0.18969072164948453,All_NonSolar_Major
30,2.181661564992912,125.00000000000001,470,0.1723404255319149,All_NonSolar_Major
31,2.356194490192345,135.0,457,0.1772428884026258,All_NonSolar_Major
32,2.5307274153917776,145.0,475,0.15578947368421053,All_NonSolar_Major
33,2.7052603405912103,154.99999999999997,426,0.14788732394366197,All_NonSolar_Major
34,2.8797932657906435,165.0,409,0.18581907090464547,All_NonSolar_Major
35,3.0543261909900767,175.0,406,0.16748768472906403,All_NonSolar_Major
