date,theta_residual_minus_sun_rad,optimal_composite_phase_rad,phase_misalignment_rad,R,high_R
1999-07-25,-0.44890818110713226,-1.9625172647111604,1.5136090836040283,-1.0897526607248769,False
1999-07-26,-0.4768667406743248,-1.9241341553099327,1.4472674146356077,-1.1046756033660403,False
1999-07-27,-0.5049467147577893,-1.8851439109455865,1.3801971961877975,-1.11905229504941,False
1999-07-28,-0.5331597593728823,-1.8455068298467832,1.3123470704739013,-1.13297963784496,False
1999-07-29,-0.5614285075839103,-1.8052782544473371,1.243849746863427,-1.1465674187482149,False
1999-07-30,-0.5897522450271993,-1.7644087452629096,1.1746565002357103,-1.159988594963889,False
1999-07-31,-0.6180435025820685,-1.7229600411852681,1.1049165386031996,-1.173347450534754,False
1999-08-01,-0.6462970261960024,-1.6808746248335273,1.034577598637525,-1.1866708811336013,False
1999-08-02,-0.6744370216301689,-1.638222266995659,0.9637852453654903,-1.199932558356542,False
1999-08-03,-0.7024811946594305,-1.5949386717595198,0.8924574771000895,-1.2131737414155292,False
1999-08-04,-0.7303781138542469,-1.5511026998312483,0.8207245859770014,-1.2264174899115998,False
1999-08-05,-0.7581611950390723,-1.5066440191744246,0.748482824135352,-1.2395874582287747,False
1999-08-06,-0.7857890491706883,-1.4616509145875087,0.6758618654168203,-1.2526317053180986,False
1999-08-07,-0.8132995723445209,-1.4160469865454821,0.6027474142009615,-1.265497692125619,False
1999-08-08,-0.840657681195701,-1.3699287705823038,0.5292710893866026,-1.2781556674718124,False
1999-08-09,-0.8679068531597292,-1.323213796927093,0.455306943767364,-1.2905030587960835,False
1999-08-10,-0.8950187054124754,-1.2760276694417767,0.3810089640293013,-1.302429996659551,False
1999-08-11,-0.9220408240887679,-1.2283813748629668,0.3063405507741992,-1.3138729407881458,False
1999-08-12,-0.9489490723791167,-1.1804889717677163,0.23153989938859976,-1.324731984528758,False
1999-08-13,-0.9757936888139014,-1.1322719195475432,0.15647823073364187,-1.3349075184478545,False
1999-08-14,-1.002557803952989,-1.0838191489418358,0.08126134498884685,-1.3444706795159354,False
1999-08-15,-1.0292998312255097,-1.0348870383440496,0.005587207118539883,-1.3535280309414577,False
1999-08-16,-1.056012507202059,-0.985328894227282,-0.07068361297477699,-1.3621313871695615,False
1999-08-17,-1.0827596659635006,-0.9347401411244798,-0.1480195248390208,-1.370257715278936,False
1999-08-18,-1.1095364452986285,-0.8831067941045885,-0.22642965119404002,-1.3778430515027713,False
1999-08-19,-1.1363990754411155,-0.8302804101423682,-0.3061186652987473,-1.3848712017278964,False
1999-08-20,-1.1633317489065913,-0.7764515881634209,-0.38688016074317044,-1.3913804507859262,False
1999-08-21,-1.1903782947625334,-0.7215680597617142,-0.4688102350008192,-1.3974061866219516,False
1999-08-22,-1.2175155019585997,-0.6658691165624213,-0.5516463853961784,-1.4029271531167422,False
1999-08-23,-1.244779405553249,-0.609306796619022,-0.6354726089342271,-1.4079236679205385,False
1999-08-24,-1.2721369204626285,-0.5521222437631268,-0.7200146766995017,-1.412420311665475,False
1999-08-25,-1.2996029597093397,-0.4942515414909425,-0.8053514182183972,-1.4164699041367566,False
1999-08-26,-1.3271227947056428,-0.43592967051949305,-0.8911931241861497,-1.4201257773437916,False
1999-08-27,-1.354694843271302,-0.3770771271862259,-0.9776177160850761,-1.423284480568242,False
1999-08-28,-1.3822607278169716,-0.3179243604688633,-1.0643363673481083,-1.425849161390586,False
1999-08-29,-1.4098189488631814,-0.25838155595362755,-1.1514373929095538,-1.427948074847972,False
1999-08-30,-1.437317761836888,-0.19867758776969513,-1.2386401740671928,-1.4298026699077573,False
1999-08-31,-1.4647639799183736,-0.1387183692987124,-1.3260456106196612,-1.4315046868610837,False
1999-09-01,-1.492119060968668,-0.07873370138683544,-1.4133853595818326,-1.4330248899852458,False
1999-09-02,-1.519398415964078,-0.018631605920504057,-1.500766810043574,-1.4342647079499948,False
1999-09-03,-1.546565064749072,0.04135478717475838,-1.5879198519238304,-1.4350551122726525,False
1999-09-04,-1.5736242331062353,0.10130802011845486,-1.6749322532246902,-1.4351889441572865,False
1999-09-05,-1.6005314235487642,0.16098867250510818,-1.7615200960538724,-1.4345490208597225,False
1999-09-06,-1.6272893603729468,0.22046124089787744,-1.8477506012708242,-1.4331933230860368,False
1999-09-07,-1.6538591561028735,0.27947618553597176,-1.9333353416388452,-1.431247897639948,False
1999-09-08,-1.6802446533057456,0.3380692212305134,-2.018313874536259,-1.4288062670077777,False
1999-09-09,-1.7064083794814442,0.39596995728237117,-2.1023783367638154,-1.425918928681327,False
1999-09-10,-1.7323569499847205,0.4531443841306704,-2.185501334115391,-1.4225505238917873,False
1999-09-11,-1.758065339680039,0.50923836678971,-2.267303706469749,-1.4187820086395857,False
1999-09-12,-1.7835544408640533,0.5641665439374259,-2.3477209848014793,-1.4147090647000389,False
