gx,gy,gz,energy
0.011936330864183088,0.0327947995204823,0.9993908270190958,0.0006473686279978689
0.010784537576205238,0.03319139375433477,0.9993908270190958,0.0006605028754030973
0.009619604990421448,0.03354754938763985,0.9993908270190958,0.0006733861447612101
0.008442952397743385,0.033862832499619924,0.9993908270190958,0.000685955670078916
0.007256013368105797,0.034136858966368686,0.9993908270190958,0.0006981502138923512
0.00606023400388234,0.034369294928846945,0.9993908270190958,0.0007099103656098483
0.004857071178032639,0.03455985719963844,0.9993908270190958,0.0007211788309543656
0.0036479907591269655,0.03470831360797007,0.9993908270190958,0.0007319007110954471
0.002434465825411194,0.03481448328257625,0.9993908270190958,0.0007420237701108052
0.00121797487008788,0.03487823687206265,0.9993908270190958,0.0007514986894744829
2.136977846428571e-18,0.03489949670250097,0.9993908270190958,0.000760279308331756
-0.0012179748700878756,0.03487823687206265,0.9993908270190958,0.0007683228483901771
-0.0024344658254111975,0.03481448328257625,0.9993908270190958,0.0007755901223311149
-0.003647990759126969,0.03470831360797007,0.9993908270190958,0.000782045724726433
-0.004857071178032636,0.03455985719963844,0.9993908270190958,0.0007876582045301768
-0.006060234003882337,0.034369294928846945,0.9993908270190958,0.0007924002183049063
-0.007256013368105794,0.034136858966368686,0.9993908270190958,0.000796248663436177
-0.00844295239774339,0.033862832499619924,0.9993908270190958,0.0007991847906861537
-0.009619604990421445,0.03354754938763985,0.9993908270190958,0.0008011942955380124
-0.010784537576205235,0.033191393754334775,0.9993908270190958,0.0008022673878861106
-0.011936330864183085,0.0327947995204823,0.9993908270190958,0.0008023988397323941
-0.013073581571653744,0.032358249875065734,0.9993908270190958,0.0008015880106566823
-0.014194904133810205,0.03188227668658269,0.9993908270190958,0.0007998388509367271
-0.015298932391836979,0.03136745985504528,0.9993908270190958,0.0007971598823028595
-0.016384321257364175,0.030814426605461288,0.9993908270190958,0.000793564156420975
-0.017449748351250478,0.03022385072365709,0.9993908270190958,0.0007890691913061284
-0.01849391561469847,0.029596451735373418,0.9993908270190958,0.0007836968859765273
-0.019515550890739267,0.028932994029634087,0.9993908270190958,0.0007774734137637152
-0.020513409474159864,0.028234285927455725,0.9993908270190958,0.0007704290947987319
-0.021486275627984695,0.0275011786970331,0.9993908270190958,0.0007625982482954821
-0.02243296406466386,0.026734565516599966,0.9993908270190958,0.0007540190253509754
-0.023352321390163445,0.02593538038622898,0.9993908270190958,0.0007447332230770176
-0.024243227509198474,0.02510459698989646,0.9993908270190958,0.0007347860809688814
-0.025104596989896467,0.024243227509198467,0.9993908270190958,0.0007242260605030346
-0.02593538038622897,0.023352321390163456,0.9993908270190958,0.0007131046090376973
-0.02673456551659996,0.022432964064663864,0.9993908270190958,0.0007014759091664839
-0.027501178697033096,0.021486275627984698,0.9993908270190958,0.0006893966147462548
-0.02823428592745572,0.02051340947415987,0.9993908270190958,0.0006769255748852181
