date,theta_unwrapped,theta_smooth,omega_raw,omega_smooth,omega_filtered
1994-06-05,130.71095907627523,130.71090788103902,-51.67752788375219,-51.6770801389539,-51.6770801389539
1994-06-06,130.56995964233514,130.56990965761437,-51.324980010202125,-51.32454335975126,-51.32454335975126
1994-06-07,130.4299188024342,130.42986999816554,-50.97723042395228,-50.97680464050791,-50.97680464050791
1994-06-08,130.29082354145098,130.2907758881933,-50.634191148645186,-50.6337760051465,-50.6337760051465
1994-06-09,130.15266108225006,130.15261455118332,-50.295776285300235,-50.295371555443126,-50.295371555443126
1994-06-10,130.01541888006682,130.01537344298904,-49.9619019603233,-49.96150741897509,-49.96150741897509
1994-06-11,129.8790846170326,129.87904024635654,-49.632486274527764,-49.6321016980437,-49.6321016980437
1994-06-12,129.74364619683865,129.74360286558695,-49.30744925309409,-49.30707441966297,-49.30707441966297
1994-06-13,129.60909173953456,129.60904942133453,-48.9867127968937,-48.98634748677432,-48.98634748677432
1994-06-14,129.47540957645876,129.47536824553626,-48.67020063486416,-48.66984463069821,-48.66984463069821
1994-06-15,129.3425882452984,129.34254787647095,-48.35783827745763,-48.35749136442246,-48.35749136442246
1994-06-16,129.21061648527478,129.21057705394455,-48.049552971035155,-48.049214937072975,-48.049214937072975
1994-06-17,129.0794832324523,129.07944471459794,-47.74527365340691,-47.74494428939215,-47.74494428939215
1994-06-18,128.94917761516723,128.94913998733605,-47.44493091055847,-47.44461001041418,-47.44461001041418
1994-06-19,128.8196889495744,128.81965218887348,-47.14845693427924,-47.14814429514081,-47.14814429514081
1994-06-20,128.69100673530798,128.69097081939543,-46.855785480714985,-46.85548090298835,-46.85548090298835
1994-06-21,128.56312065125437,128.56308555833016,-46.56685182999354,-46.56655511747522,-46.56655511747522
1994-06-22,128.43602055143404,128.4359862602307,-46.281592746978276,-46.28130370691724,-46.28130370691724
1994-06-23,128.3096964609902,128.3096629507631,-45.99994644285471,-45.999664886014216,-45.999664886014216
1994-06-24,128.18413857228074,128.18410582279864,-45.721852537593804,-45.721578278280504,-45.721578278280504
1994-06-25,128.05933724107192,128.05930523260696,-45.447252023364854,-45.44698487949063,-45.44698487949063
1994-06-26,127.9352829828305,127.93525169614854,-45.176087229090626,-45.17582702214713,-45.17582702214713
1994-06-27,127.8119664691124,127.81193588546301,-44.9083017856683,-44.90804834078881,-44.90804834078881
1994-06-28,127.68937852404508,127.68934862515168,-44.64384059205622,-44.64359373796833,-44.64359373796833
1994-06-29,127.56751012090136,127.56748088895128,-44.38264978224106,-44.38240935132126,-44.38240935132126
1994-06-30,127.44635237876253,127.44632379639711,-44.12467669323087,-44.12444252142086,-44.12444252142086
1994-07-01,127.32589655926827,127.32586860957313,-43.869869833688426,-43.86964176053152,-43.86964176053152
1994-07-02,127.20613406345136,127.20610672994647,-43.61817885333585,-43.617956721936935,-43.617956721936935
1994-07-03,127.08705642865459,127.08702969528471,-43.36955451314134,-43.36933817011595,-43.36933817011595
1994-07-04,126.96865532552854,126.9686291766535,-43.12394865660826,-43.12373795207532,-43.12373795207532
1994-07-05,126.85092255510705,126.8508969754923,-42.88131418132616,-42.88110896884609,-42.88110896884609
1994-07-06,126.73385004595941,126.73382502076666,-42.641605011453066,-42.64140514800965,-42.64140514800965
1994-07-07,126.61742985141676,126.61740536619459,-42.40477607107459,-42.40458141702766,-42.40458141702766
1994-07-08,126.50165414687064,126.50163018754535,-42.17078325816692,-42.170593677186844,-42.170593677186844
1994-07-09,126.386515227142,126.38649178000868,-41.93958341902544,-41.9393987780677,-41.9393987780677
1994-07-10,126.27200550391916,126.27198255563268,-41.71113432359198,-41.71095449280256,-41.71095449280256
1994-07-11,126.15811750326202,126.15809504082844,-41.485394641444145,-41.48521949415954,-41.48521949415954
1994-07-12,126.04484386317196,126.04482187393975,-41.262323918352195,-41.262153331033915,-41.262153331033915
1994-07-13,125.93217733122442,125.93215580287611,-41.04188255339977,-41.04171640553977,-41.04171640553977
1994-07-14,125.82011076226362,125.82008968280749,-40.824031776683114,-40.82386995079651,-40.82386995079651
1994-07-15,125.7086371161571,125.70861647391907,-40.60873362784696,-40.60857600937379,-40.60857600937379
1994-07-16,125.59774945560869,125.59772923922428,-40.3959509349952,-40.39579741226407,-40.39579741226407
1994-07-17,125.48744094402838,125.487421142435,-40.18564729407444,-40.185497758251586,-40.185497758251586
1994-07-18,125.37770484345778,125.3776854458869,-39.977787048945174,-39.9776413939544,-39.9776413939544
1994-07-19,125.26853451254895,125.26851550851883,-39.77233527203134,-39.77219339450676,-39.77219339450676
1994-07-20,125.15992340459648,125.1599047839046,-39.56925774542469,-39.569119544652494,-39.569119544652494
1994-07-21,125.05186506561981,125.05184681833586,-39.36852094238566,-39.368386320249556,-39.368386320249556
1994-07-22,124.94435313249588,124.94433524895463,-39.17009200941902,-39.16996087034204,-39.16996087034204
1994-07-23,124.83738133113984,124.83736380193433,-38.9739387489426,-38.97381099981794,-38.97381099981794
1994-07-24,124.73094347473294,124.73092629070779,-38.780029602312425,-38.77990515246347,-38.77990515246347
1994-07-25,124.62503346199637,124.6250166142411,-38.588333633222646,-38.58821239433746,-38.58821239433746
1994-07-26,124.51964527550933,124.51962875535214,-38.39882051162931,-38.398702397706074,-38.398702397706074
1994-07-27,124.41477298007102,124.41475677907235,-38.21146049818708,-38.211345425490435,-38.211345425490435
1994-07-28,124.31041072110442,124.31039483105096,-38.02622442906795,-38.026112316052604,-38.026112316052604
1994-07-29,124.20655272310138,124.20653713600011,-37.843083701009164,-37.84297446828714,-37.84297446828714
1994-07-30,124.10319328810787,124.10317799618018,-37.66201025685223,-37.66190382716013,-37.66190382716013
1994-07-31,124.00032679424793,124.0003117899239,-37.48297657182411,-37.48287286991399,-37.48287286991399
1994-08-01,123.89794769428536,123.89793297019838,-37.30595563960742,-37.30585459222493,-37.30585459222493
1994-08-02,123.79605051422276,123.79603606320406,-37.1309209590363,-37.13082249487343,-37.13082249487343
1994-08-03,123.69462985193616,123.69461566700954,-36.957846521308966,-36.95775057096762,-36.95775057096762
1994-08-04,123.59368037584454,123.59366645022128,-36.78670679741845,-36.78661329334864,-36.78661329334864
1994-08-05,123.49319682361346,123.49318315068724,-36.617476725808956,-36.61738560224694,-36.61738560224694
1994-08-06,123.3931740008915,123.39316057423369,-36.45013170040329,-36.45004289336066,-36.45004289336066
1994-08-07,123.29360678007949,123.29359359343415,-36.28464755916866,-36.28456100636322,-36.28456100636322
1994-08-08,123.19449009913006,123.19447714640958,-36.121000572824414,-36.12091621363288,-36.12091621363288
1994-08-09,123.09581896037882,123.09580623565923,-35.959167433731636,-35.95908520916055,-35.95908520916055
1994-08-10,122.997588429404,122.99757592692075,-35.79912524526662,-35.79904509788685,-35.79904509788685
1994-08-11,122.8997936339161,122.89978134805963,-35.64085151141262,-35.64077338538482,-35.64077338538482
1994-08-12,122.8024297626748,122.80241768798635,-35.484324126784486,-35.484247967739066,-35.484247967739066
1994-08-13,122.70549206443332,122.70548019560106,-35.3295213666097,-35.329447121614066,-35.329447121614066
1994-08-14,122.60897584690973,122.60896417876471,-35.17642187713136,-35.176349494700844,-35.176349494700844
1994-08-15,122.51287647578378,122.51286500329611,-35.02500466640777,-35.02493409645831,-35.02493409645831
1994-08-16,122.41718937371922,122.41717809199417,-34.87524909525382,-34.87518028902559,-34.87518028902559
1994-08-17,122.32191001941,122.32189892368469,-34.72713486830253,-34.72706777834901,-34.72706777834901
1994-08-18,122.22703394665125,122.22702303229076,-34.580642025401175,-34.58057660557097,-34.58057660557097
1994-08-19,122.13255674343249,122.13254600592667,-34.435750933396776,-34.435687138753565,-34.435687138753565
1994-08-20,122.0384740510542,122.03846348601414,-34.29244227792515,-34.29238006477317,-34.29238006477317
1994-08-21,121.94478156326582,121.94477116642067,-34.15069705546557,-34.1506363812623,-34.1506363812623
1994-08-22,121.85147502542542,121.8514647926192,-34.01049656563191,-34.010437388988066,-34.010437388988066
1994-08-23,121.75855023367995,121.75854016086844,-33.8718224037184,-33.871764684372465,-33.871764684372465
1994-08-24,121.66600303416611,121.66599311741382,-33.73465645346732,-33.73460015222736,-33.73460015222736
1994-08-25,121.57382932223038,121.57381955770765,-33.598980879836745,-33.598925958584005,-33.598925958584005
1994-08-26,121.48202504166878,121.48201542564887,-33.46477812210651,-33.46472454374816,-33.46472454374816
1994-08-27,121.3905861839847,121.39057671284108,-33.332030887362635,-33.331978615784465,-33.331978615784465
1994-08-28,121.29950878766536,121.29949945786903,-33.20072214368702,-33.200671143753425,-33.200671143753425
1994-08-29,121.20878893747587,121.20877974559266,-33.07083511386372,-33.070785351425,-33.070785351425
1994-08-30,121.1184227637702,121.11841370645816,-32.94235326931812,-32.942304711119505,-32.942304711119505
1994-08-31,121.02840644181906,121.02839751582604,-32.81526032403417,-32.81521293770129,-32.81521293770129
1994-09-01,120.93873619115395,120.93872739331533,-32.68954022858088,-32.68949398264158,-32.68949398264158
1994-09-02,120.8494082749275,120.84939960216346,-32.56517716446979,-32.56513202827773,-32.56513202827773
1994-09-03,120.76041899928832,120.76041044860203,-32.442155538650695,-32.44211148237082,-32.44211148237082
1994-09-04,120.67176471277193,120.67175628124691,-32.32045997806563,-32.320416972732346,-32.320416972732346
1994-09-05,120.58344180570542,120.58343349050351,-32.20007532442469,-32.200033341789094,-32.200033341789094
1994-09-06,120.4954467096266,120.495438507986,-32.08098662895645,-32.08094564154089,-32.08094564154089
1994-09-07,120.40777589671737,120.4077678059503,-31.963179147565825,-31.963139128663897,-31.963139128663897
1994-09-08,120.32042587924974,120.3204178967407,-31.84663833601371,-31.846599259617506,-31.846599259617506
1994-09-09,120.23339320904576,120.2333853322494,-31.731349845078512,-31.73131168587861,-31.73131168587861
1994-09-10,120.14667447694956,120.14666670338892,-31.61729951597954,-31.617262249346823,-31.617262249346823
1994-09-11,120.06026631231217,120.06025863957679,-31.504473375978705,-31.504436977953446,-31.504436977953446
1994-09-12,119.9741653824883,119.97415780823238,-31.392857634047687,-31.392822081321356,-31.392822081321356
1994-09-13,119.88836839234469,119.88836091428544,-31.282438676567836,-31.282403946443083,-31.282403946443083
1994-09-14,119.80287208378024,119.80286469969612,-31.173203063179244,-31.173169133591728,-31.173169133591728
1994-09-15,119.71767323525684,119.7176659429859,-31.065137522873556,-31.06510437234101,-31.06510437234101
1994-09-16,119.63276866134146,119.63276145877975,-30.95822895009769,-30.958196557730844,-30.958196557730844
1994-09-17,119.5481552122583,119.54814809735831,-30.852464400901226,-30.852432746349223,-30.852432746349223
1994-09-18,119.46382977345156,119.46382274422075,-30.747831089160172,-30.747800152643322,-30.747800152643322
1994-09-19,119.37978926515812,119.37978231965727,-30.64431638321912,-30.64428614548524,-30.64428614548524
1994-09-20,119.29603064198966,119.29602377833166,-30.54190780222052,-30.54187824451219,-30.54187824451219
1994-09-21,119.21255089252453,119.21254410887288,-30.440593012652243,-30.440564116754103,-30.440564116754103
1994-09-22,119.1293470389088,119.12934033347612,-30.34035982518253,-30.340331573359435,-30.340331573359435
1994-09-23,119.046416136466,119.04640950751289,-30.24119619141493,-30.241168566404667,-30.241168566404667
1994-09-24,118.96375527331577,118.96374871914941,-30.143090200694132,-30.14306318569652,-30.14306318569652
1994-09-25,118.88136157000092,118.88135508897388,-30.046030077002797,-30.046003655672394,-30.046003655672394
1994-09-26,118.7992321791228,118.79922576963175,-29.950004176087532,-29.94997833253001,-29.94997833253001
1994-09-27,118.71736428498465,118.71735794546922,-29.85500098261764,-29.854975701342482,-29.854975701342482
1994-09-28,118.63575510324257,118.63574883218423,-29.76100910722016,-29.76098437318069,-29.76098437318069
1994-09-29,118.55440188056461,118.55439567648538,-29.66801728376595,-29.667993082330213,-29.667993082330213
1994-09-30,118.4733018942966,118.47329575575813,-29.576014366833988,-29.57599068372292,-29.57599068372292
1994-10-01,118.39245245213561,118.39244637773804,-29.484989329041127,-29.48496615039039,-29.48496615039039
1994-10-02,118.31185089181034,118.31184488019125,-29.394931258466386,-29.394908570793632,-29.394908570793632
1994-10-03,118.2314945807683,118.23148863060166,-29.305829356202594,-29.305807146381994,-29.305807146381994
1994-10-04,118.15138091586951,118.15137502586477,-29.217672934068105,-29.21765118931944,-29.21765118931944
1994-10-05,118.07150732308683,118.07150149198795,-29.130451412216644,-29.130430120116216,-29.130430120116216
1994-10-06,117.99187125721257,117.99186548379699,-29.044154316838103,-29.044133465318737,-29.044133465318737
1994-10-07,117.912470201571,117.91246448464882,-28.958771277964843,-28.9587508552504,-28.9587508552504
1994-10-08,117.8333016677371,117.83329600615022,-28.874292027368938,-28.874272022007062,-28.874272022007062
1994-10-09,117.75436319526092,117.75435758788214,-28.790706396466703,-28.79068679733973,-28.79068679733973
