theta1,theta2,omega1,omega2,state
76.49836238463443,-5.779236160765182,-4.557475791836615,-8.017725200368123,0
76.48609123541594,-5.80110653693464,-4.482037252054232,-7.988154895894662,0
76.47402468517618,-5.822896762492641,-4.407307475074282,-7.95887988505961,0
76.46216082272942,-5.84460764323127,-4.333275758678887,-7.929899189784433,0
76.45049776599271,-5.866239982038975,-4.259931473082722,-7.901211749514302,0
76.43903366177902,-5.887794578688189,-4.187264064048952,-7.872816426125392,0
76.4277666855805,-5.909272229637738,-4.1152630565121635,-7.844712009322669,0
76.4166950413447,-5.930673727847776,-4.043918057125385,-7.81689722121668,0
76.40581696124394,-5.9519998626071535,-3.9732187567999504,-7.789370720862606,0
76.39513070543833,-5.973251419372341,-3.903154932998699,-7.762131108484404,0
76.38463456183247,-5.994429179618614,-3.833716452041522,-7.735176929951568,0
76.37432684582808,-6.015533920701173,-3.7648932706038423,-7.708506680404484,0
76.3642059000718,-6.036566415726566,-3.696675437482819,-7.6821188080245975,0
76.3542700941988,-6.057527433434766,-3.6290530951129387,-7.656011717920153,0
76.34451782457381,-6.078417738089662,-3.5620164805249184,-7.630183775201038,0
76.33494751402942,-6.099238089378319,-3.4955559263384512,-7.604633308181552,0
76.32555761160148,-6.119989242319268,-3.4296618618054593,-7.57935861168187,0
76.31634659226256,-6.1406719471785784,-3.3643248135406894,-7.554357949863195,0
76.30731295665392,-6.161286949394094,-3.299535406057617,-7.529629559216697,0
76.29845523081669,-6.181834989506004,-3.235284362048699,-7.505171650875229,0
76.28977196592223,-6.202316803095042,-3.171562502700794,-7.480982413396261,0
76.28126173800236,-6.22273312072651,-3.108360747732837,-7.457060014894024,0
76.27292314767932,-6.243084667900737,-3.045670115488476,-7.433402605386056,0
76.26475481989591,-6.263372165009686,-2.9834817228901054,-7.410008319043816,0
76.25675540364625,-6.283596327298613,-2.921786785188491,-7.386875276030671,0
76.248923571707,-6.303757864833556,-2.8605766158133616,-7.364001584637595,0
76.24125802036971,-6.323857482473658,-2.7998426259425586,-7.341385343047279,0
76.23375746917498,-6.343895879847728,-2.7395763238781377,-7.319024640879191,0
76.22642066064763,-6.363873751335343,-2.6797693146114185,-7.296917560851288,0
76.21924636003361,-6.383791786052528,-2.6204132992727516,-7.275062180451994,0
76.2122333550383,-6.40365066784109,-2.56150007453883,-7.253456573272152,0
76.20538045556671,-6.423451075262515,-2.503021531995343,-7.232098810675762,0
76.19868649346601,-6.443193681594608,-2.4449696572798967,-7.210986962796729,0
76.19215032227025,-6.46287915483195,-2.3873365292521393,-7.190119099939148,0
76.18577081694752,-6.482508157689174,-2.3301143191259506,-7.16949329360112,0
76.17954687364961,-6.502081347607328,-2.2732952895620033,-7.149107617605684,0
76.17347740946414,-6.521599376763231,-2.2168717937438154,-7.128960149193721,0
76.1675613621698,-6.541062892080849,-2.1608362742557765,-7.109048969760032,0
76.16179768999416,-6.560472535245553,-2.1051812621548835,-7.089372165907673,0
76.15618537137425,-6.579828942720535,-2.0498993759222195,-7.069927830237552,0
76.15072340472001,-6.599132745765573,-1.994983320460427,-7.050714062200006,0
76.14541080818083,-6.618384570457812,-1.940425885937073,-7.031728968840569,0
76.14024661941491,-6.637585037714357,-1.886219946751236,-7.012970665452581,0
76.13522989536189,-6.656734763316913,-1.8323584603661065,-6.99443727633379,0
76.13035971201835,-6.675834357937716,-1.7788344662285955,-6.976126935248387,0
76.12563516421622,-6.694884427167966,-1.7256410847267363,-6.958037786348611,0
76.12105536540521,-6.713885571546582,-1.6727715157207355,-6.940167984289578,0
76.11661944743834,-6.732838386590459,-1.6202190374004373,-6.92251569477629,0
76.11232656036015,-6.7517434628264,-1.5679770053101425,-6.905079095177035,0
76.10817587219846,-6.7706013858241105,-1.5160388510561382,-6.887856374913965,0
76.10416656875925,-6.789412736230405,-1.4643980811694102,-6.870845735899171,0
76.10029785342526,-6.80817808980404,-1.4130482757411715,-6.8540453927700895,0
76.09656894695779,-6.826898017451402,-1.3619830872442447,-6.8374535731989265,0
76.09297908730208,-6.845573085263107,-1.3111962392461525,-6.821068518225222,0
76.089527529396,-6.864203854550999,-1.2606815251991759,-6.804888482402629,0
76.08621354498158,-6.882790881886313,-1.2104328073664212,-6.78891173422346,0
76.08303642241992,-6.90133471913854,-1.1604440156435416,-6.773136556375943,0
76.07999546650933,-6.919835913515042,-1.1107091463437222,-6.7575612460174765,0
76.07708999830727,-6.938295007600494,-1.0612222608018789,-6.742184114710945,0
76.07431935495539,-6.956712539397135,-1.0119774842742384,-6.7270034887234775,0
76.07168288950764,-6.97508904236533,-0.9629690047908543,-6.712017709132996,0
76.06917997076182,-6.993425045464663,-0.9141910719103136,-6.697225132031756,0
76.06680998309426,-7.011721073195381,-0.8656379955775723,-6.68262412864441,0
76.06457232629802,-7.02997764563953,-0.8173041448265466,-6.668213085225512,0
76.06246641542396,-7.0481952785029875,-0.769183946752039,-6.653990403377957,0
76.06049168062485,-7.066374483157676,-0.721271885373338,-6.639954500124858,0
76.05864756700295,-7.084515766683683,-0.6735625003988457,-6.626103807874166,0
76.05693353446094,-7.102619631911364,-0.6260503859697165,-6.612436774410417,0
76.05534905755569,-7.120686577463781,-0.5787301896427848,-6.598951863020103,0
76.05389362535534,-7.1387170977988825,-0.5315966111759558,-6.585647552395963,0
76.0525667412992,-7.15671168325201,-0.4846444015054689,-6.572522336754935,0
76.05136792306084,-7.174670820078524,-0.4378683615626944,-6.5595747258843025,0
76.05029670241453,-7.192594990495763,-0.39126334106461114,-6.546803244896454,0
