date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-04-01,-559.7456249999996,489.80025000000296,-328.2378830350316,-667.4423883357922,-385.16027588903376,-636.294752047971,-737.9429781165036,93.05702904805759,743.7872340976991,138.81275142274342
1973-04-02,-563.2154999999993,503.1318749999992,-340.2171741948039,-674.2445086644507,-397.6868260787994,-642.0269242365423,-748.2745849553039,102.16911760033815,755.2174409276206,138.22493591149254
1973-04-03,-568.5116249999999,516.6461250000015,-351.90019927748943,-682.8579178614838,-410.0761018000005,-649.5893140825002,-760.2223442649832,110.41138309934769,768.1983378253676,137.7363897294241
1973-04-04,-575.4513750000007,530.1603750000037,-363.15782290716817,-693.0589468947513,-422.1799650351837,-658.7703585715033,-773.5327304548534,117.73454516238996,782.4412490465568,137.34579006627087
1973-04-05,-583.3042500000005,543.3093749999938,-373.82630798822413,-704.0474532919214,-433.76556474633543,-668.7872306430795,-787.3958863701628,124.24428823206523,797.1379585937098,137.0331510066548
1973-04-06,-590.7918749999999,556.0931249999977,-384.2365223174653,-714.588621624819,-445.0548884226058,-678.3809766859772,-800.7519911041111,130.6554705363692,811.341237235159,136.73294241472666
1973-04-07,-597.1837499999992,569.2421250000034,-395.2831420234312,-724.1659103897842,-456.89418812134426,-686.959044630405,-813.403923125926,137.98219443802844,825.0242591212583,136.37225270712077
1973-04-08,-602.6625000000008,582.7563750000005,-406.91890027799957,-732.955721790843,-469.2517513440936,-694.701284992257,-825.5030854222911,146.12233733303674,838.3359001673448,135.96204791862567
1973-04-09,-606.8628750000014,595.905375000001,-418.53272192130237,-740.4161841074957,-481.47160102418377,-701.1211467459588,-836.3381816038495,154.67453248264712,850.520878642705,135.52196350876062
1973-04-10,-609.6022499999989,607.9586249999962,-429.46626496533935,-746.1818278232646,-492.86604759647753,-705.9119293818272,-845.3493182679215,163.1352905440985,860.9463356777513,135.07734538808847
1973-04-11,-611.4284999999998,618.3682499999992,-439.04852231370785,-750.6400590659019,-502.8004020179658,-709.5180469522132,-852.6843365625942,170.7440347453453,869.6114668174007,134.6766830247076
1973-04-12,-612.889499999999,627.4995000000013,-447.49049789011735,-754.4146181037024,-511.5392278250893,-712.5424760016848,-859.0016906559149,177.49720324776996,877.1483122656625,134.32516925678493
1973-04-13,-613.4373749999991,634.8044999999946,-454.40478556681705,-756.8344978402529,-518.6381109654976,-714.3505274872223,-863.5408037758286,183.24695490328986,882.769599763796,134.01931945011808
1973-04-14,-613.2547500000007,639.9179999999983,-459.3913141076612,-757.981566823361,-523.7056379089754,-715.0586269278306,-866.2488337010419,187.58836113454856,886.3274987957675,133.78112476486882
1973-04-15,-611.9763749999998,643.2052500000036,-462.89742157691825,-757.5975543011926,-527.1649346841951,-714.3704982886092,-867.0272196661633,191.02847312290942,887.8220977119839,133.5747770349331
1973-04-16,-608.6891249999998,644.1183750000027,-464.6302355030608,-754.6586487692828,-528.6350122356992,-711.2917514947518,-864.8125789257629,193.6236949282823,886.2228455111668,133.3801137806778
1973-04-17,-604.1235000000013,643.3878749999993,-465.1062973897492,-750.059526356185,-528.7084226332806,-706.6686386036206,-860.6190138425802,195.5711480814358,882.5605706971428,133.19725848072642
1973-04-18,-598.4621250000002,641.3790000000001,-464.63114481693106,-744.0711229221466,-527.7131544102883,-700.7444351279995,-854.8021726112963,197.0715159517572,877.2251345581225,133.01750855969226
1973-04-19,-591.5223749999982,638.274375000006,-463.4284468167448,-736.5643030912552,-525.860770581063,-693.3710030504429,-847.3127748492211,198.37832412993066,870.2257740996223,132.82288986439573
1973-04-20,-583.4868750000013,634.0739999999963,-461.450936561057,-727.7154690675374,-523.119558647137,-684.728192886847,-838.3022235430362,199.38945001193918,861.6883257728763,132.6208477455458
1973-04-21,-575.0861250000002,628.777874999997,-458.50954673744786,-718.2302296670949,-519.3626686147516,-675.5354067007825,-828.3761306394999,199.69640318182422,852.1066055705869,132.4463283336711
1973-04-22,-566.3201249999972,622.9338750000003,-455.1334839579871,-708.2503853742639,-515.1296520315802,-665.8877819875895,-817.8408639505989,199.75339259964147,841.8818780580376,132.2745250624697
1973-04-23,-557.3715000000012,616.359375,-451.09907919052887,-697.905071564965,-510.2089458832752,-655.9334567647232,-806.7457038590283,199.30689267469683,831.0005223600295,132.12292213175988
