s,n,ds_dt,dn_dt
12810.498762132223,2.983347893622346,0.0,0.13566045792824366
12810.498762132223,3.118481252602046,0.0,0.13460684689581104
12810.498762132223,3.252561587413968,0.0,0.13355442572027565
12810.498762132223,3.3855901040425973,0.0,0.13250322657008207
12810.498762132223,3.5175680405541323,0.0,0.13145328143951573
12810.498762132223,3.6484966669216288,0.0,0.13040462214738469
12810.498762132223,3.7783772848489017,0.0,0.12935728033557004
12810.498762132223,3.907211227592769,0.0,0.12831128746764664
12810.498762132223,4.034999859784195,0.0,0.1272666748275939
12810.498762132223,4.161744577247957,359.38183964877317,0.12648336525856196
13529.26244142977,4.287966590301319,359.38183964877317,0.12897676253553447
13529.26244142977,4.419698102319026,0.0,0.1312003543976794
13529.26244142977,4.550367299096678,0.0,0.1301387226675197
13529.26244142977,4.679975547654065,0.0,0.12907847377743886
13529.26244142977,4.808524246651555,0.0,0.1280196392772739
13529.26244142977,4.936014826208613,0.0,0.12696225053469012
13529.26244142977,5.062448747720936,0.0,0.12590633873382995
13529.26244142977,5.187827503676273,0.0,0.12485193487404977
13529.26244142977,5.312152617469035,0.0,0.12379906976869615
13529.26244142977,5.435425643213665,0.0,0.12274777404388271
13529.26244142977,5.557648165556801,0.0,0.12169807813730804
13529.26244142977,5.678821799488281,0.0,0.12065001229704153
13529.26244142977,5.798948190150884,0.0,0.1196036065804531
13529.26244142977,5.918029012649187,0.0,0.11855889085311322
13529.26244142977,6.03606597185711,0.0,0.11751589478764357
13529.26244142977,6.153060802224474,0.0,0.1164746478627241
13529.26244142977,6.269015267582558,327.31912235720483,0.11535690408373878
14183.90068614418,6.383774610391952,327.31912235720483,0.1179271649172784
14183.90068614418,6.504869597417115,0.0,0.12056657512404723
14183.90068614418,6.624907760640046,0.0,0.1195106039517495
14183.90068614418,6.743890805320614,0.0,0.11845635300685098
14183.90068614418,6.861820466653748,0.0,0.11740385212748183
14183.90068614418,6.978698509575578,0.0,0.1163531309572754
14183.90068614418,7.094526728568299,0.0,0.11530421894432274
14183.90068614418,7.209306947464223,0.0,0.11425714534011266
14183.90068614418,7.3230410192485245,0.0,0.113211939198544
14183.90068614418,7.435730825861311,0.0,0.1121686293750015
14183.90068614418,7.5473782779985275,0.0,0.11112724452534106
14183.90068614418,7.657985314911993,0.0,0.11008781310500826
14183.90068614418,7.767553904208544,0.0,0.10905036336808571
14183.90068614418,7.876086041648165,0.0,0.10801492336639473
14183.90068614418,7.983583750941333,0.0,0.1069815209486773
14183.90068614418,8.09004908354552,0.0,0.105950183759699
14183.90068614418,8.195484118460731,0.0,0.10492093923948342
14183.90068614418,8.299890962024486,0.0,0.10389381462252434
14183.90068614418,8.40327174770578,0.0,0.10286883693699256
14183.90068614418,8.505628635898471,0.0,0.10184603300399608
14183.90068614418,8.606963813713772,0.0,0.10082542943690864
14183.90068614418,8.707279494772289,0.0,0.09980705264060319
14183.90068614418,8.806577918994979,0.0,0.0987909288107689
14183.90068614418,8.904861352393826,0.0,0.097777083933277
14183.90068614418,9.002132086861533,0.0,0.09676554378354218
14183.90068614418,9.09839243996091,290.9673766123951,0.09269383917854412
14765.83543936897,9.187519765218621,290.9673766123951,0.09532403958324043
14765.83543936897,9.289040519127392,0.0,0.10100949584382857
14765.83543936897,9.389538756906278,0.0,0.0999880837992615
14765.83543936897,9.489016686725915,0.0,0.09896889313523083
14765.83543936897,9.58747654317674,0.0,0.09795195016762381
14765.83543936897,9.684920587061162,0.0,0.09693728100407828
14765.83543936897,9.781351105184896,0.0,0.0959249115432339
14765.83543936897,9.87677041014763,0.0,0.09491486747412559
14765.83543936897,9.971180840133147,0.0,0.09390717427560435
14765.83543936897,10.064584758698839,0.0,0.09290185721571564
14765.83543936897,10.156984554564579,0.0,0.09189894135106513
14765.83543936897,10.248382641400969,0.0,0.09089845152633824
14765.83543936897,10.338781457617255,0.0,0.08990041237375657
14765.83543936897,10.428183466148482,0.0,0.08890484831251477
14765.83543936897,10.516591154242285,0.0,0.08791178354850526
14765.83543936897,10.604007033245493,0.0,0.08692124207374441
14765.83543936897,10.690433638389774,0.0,0.08593324766580057
14765.83543936897,10.775873528577094,0.0,0.084947823887501
14765.83543936897,10.860329286164776,0.0,0.08396499408655256
14765.83543936897,10.943803516750199,0.0,0.08298478139517496
14765.83543936897,11.026298848955125,0.0,0.08200720872969303
14765.83543936897,11.107817934209585,0.0,0.0810322987902854
14765.83543936897,11.188363446535696,0.0,0.08006007406058302
14765.83543936897,11.267938082330751,0.0,0.07909055680743204
14765.83543936897,11.34654456015056,0.0,0.07812376908063179
14765.83543936897,11.424185620492015,0.0,0.07715973271255461
14765.83543936897,11.50086402557567,0.0,0.07619846931810415
14765.83543936897,11.576582559128223,0.0,0.07524000029445688
