date,phi_deg,theta_deg,quadrupole_power,dipole_magnitude,lambda1,lambda2,lambda3,phi_unwrapped_deg
1983-07-09,72.1104488041924,90.0,0.26246303260531506,0.8400178537743682,0.3855232017971585,-0.052189868463825194,-0.3333333333333333,72.1104488041924
1983-08-08,82.50394844594649,90.0,0.27070313858250894,0.8490314985208715,0.3947417331643467,-0.06140839983101332,-0.3333333333333333,82.50394844594649
1983-09-07,91.98807681572212,90.0,0.2909595797344312,0.8606387072660445,0.4159585769523442,-0.08262524361901089,-0.3333333333333333,91.98807681572212
1983-10-07,99.60456728679641,90.0,0.3311042869684285,0.8799997429022977,0.453404892494478,-0.12007155916114451,-0.3333333333333333,99.60456728679641
1983-11-06,105.40550446101489,90.0,0.39100184924357795,0.9063500120159418,0.5015809710617696,-0.16824763772843626,-0.3333333333333333,105.40550446101489
1983-12-06,110.01542509284938,90.0,0.4655825160548253,0.9361794909792501,0.5532645516765039,-0.21993121834317053,-0.3333333333333333,110.01542509284938
1984-01-05,114.06993207586372,90.0,0.5432129234516561,0.9638616484265234,0.6005711819606362,-0.26723784862730304,-0.3333333333333333,114.06993207586372
1984-02-04,117.90200142116001,90.0,0.6042243443227775,0.9830673814353074,0.6344046690013663,-0.3010713356680329,-0.3333333333333333,117.90200142116001
1984-03-05,121.41173597611767,90.0,0.6322250785766721,0.9910613373528679,0.6491386409356419,-0.3158053076023086,-0.3333333333333333,121.41173597611767
1984-04-04,124.42979285206886,90.0,0.6318988713264257,0.9910112434011346,0.6489695821978497,-0.3156362488645164,-0.3333333333333333,124.42979285206886
1984-05-04,127.06541432290909,90.0,0.618638146675242,0.9874762639394518,0.6420462413270508,-0.30871290799371737,-0.3333333333333333,127.06541432290909
1984-06-03,129.50427569113265,90.0,0.6036023922321828,0.9834318541684005,0.634072125324092,-0.3007387919907586,-0.3333333333333333,129.50427569113265
1984-07-03,131.82703823290882,90.0,0.5931547848480693,0.9806131987720252,0.6284502297031841,-0.2951168963698509,-0.3333333333333333,131.82703823290882
1984-08-02,133.99183562741558,90.0,0.590533065993817,0.9799229332736965,0.6270286977504379,-0.2936953644171046,-0.3333333333333333,133.99183562741558
1984-09-01,135.8714528048761,90.0,0.5961761927327323,0.9814727697562337,0.6300830701668371,-0.2967497368335038,-0.3333333333333333,135.8714528048761
1984-10-01,137.30501871713165,90.0,0.6074815104012841,0.984537177147973,0.6361423549267817,-0.3028090215934483,-0.3333333333333333,137.30501871713165
1984-10-31,138.13743905272912,90.0,0.6184841806225332,0.9875078324322861,0.6419652643691355,-0.308631931035802,-0.3333333333333333,138.13743905272912
1984-11-30,138.2239224800695,90.0,0.61977304254488,0.987852580169321,0.6426427038146586,-0.30930937048132534,-0.3333333333333333,138.2239224800695
1984-12-30,137.40610869439277,90.0,0.5992251825565664,0.9820412839866596,0.6317250048834434,-0.2983916715501101,-0.3333333333333333,137.40610869439277
1985-01-29,135.53666029700113,90.0,0.5448654965972637,0.9652260334529597,0.6015222920934267,-0.2681889587600931,-0.3333333333333333,135.53666029700113
1985-02-28,132.81156737663167,90.0,0.4535690661583884,0.9303841497833276,0.5454161877830119,-0.21208285444967853,-0.3333333333333333,132.81156737663167
1985-03-30,130.57567583450853,90.0,0.350045396004636,0.8700315095082672,0.4694691842734142,-0.13613585094008093,-0.3333333333333333,130.57567583450853
1985-04-29,130.67293745798767,90.0,0.27661537233665134,0.786754226737055,0.401132768342351,-0.0677994350090175,-0.3333333333333333,130.67293745798767
1985-05-29,132.9313901563569,90.0,0.24019177060791097,0.6952998447544798,0.35840229708162674,-0.025068963748293274,-0.3333333333333333,132.9313901563569
1985-06-28,135.82902604684722,90.0,0.22459128268948952,0.6108490450376937,0.3368498268541877,-0.003516493520854314,-0.3333333333333333,135.82902604684722
1985-07-28,138.4910121878133,90.0,0.2179911927945004,0.5460302935474066,0.3268611205778957,0.006472212755437686,-0.3333333333333333,138.4910121878133
1985-08-27,140.99264386201168,90.0,0.21515820871562,0.5120610985540532,0.3223772026765227,0.010956130656810729,-0.3333333333333333,140.99264386201168
1985-09-26,143.79146392485703,90.0,0.21463313433476922,0.516032492240356,0.3215318784931168,0.011801454840216604,-0.3333333333333333,143.79146392485703
1985-10-26,147.23213162354398,90.0,0.21731858191748438,0.5565308902947257,0.3258079800501148,0.007525353283218597,-0.3333333333333333,147.23213162354398
1985-11-25,151.15697761614706,90.0,0.2262949800429547,0.6245332584190622,0.3393344305606374,-0.006001097227304101,-0.3333333333333333,151.15697761614706
1985-12-25,154.71162858958238,90.0,0.24743365522237834,0.7084125844061882,0.3676231153759724,-0.03428978204263895,-0.3333333333333333,154.71162858958238
1986-01-24,156.68484383164156,90.0,0.29020804433779746,0.7964172379023788,0.4152037641703701,-0.08187043083703688,-0.3333333333333333,156.68484383164156
1986-02-23,156.12358301435677,90.0,0.3644374813761173,0.875602041375677,0.48112716872491457,-0.14779383539158125,-0.3333333333333333,156.12358301435677
1986-03-25,152.97904204693316,90.0,0.4607248394318843,0.9326417589692807,0.5501103866342896,-0.2167770533009562,-0.3333333333333333,152.97904204693316
1986-04-24,148.65500791837607,90.0,0.5404536008188845,0.9638966636844439,0.5989784373554937,-0.26564510402216024,-0.3333333333333333,148.65500791837607
1986-05-24,144.58260368514544,90.0,0.5858868019990733,0.9782432945152062,0.6244985874260249,-0.29116525409269167,-0.3333333333333333,144.58260368514544
1986-06-23,141.08942436348758,90.0,0.6075053009253919,0.9844585308796887,0.6361550234225746,-0.3028216900892411,-0.3333333333333333,141.08942436348758
1986-07-23,138.0221625309191,90.0,0.6163462838780143,0.9869070736778404,0.6408394290704912,-0.3075060957371578,-0.3333333333333333,138.0221625309191
1986-08-22,135.18477813502085,90.0,0.618302234431461,0.9874462227118186,0.6418695537395434,-0.3085362204062101,-0.3333333333333333,135.18477813502085
1986-09-21,132.42323748028258,90.0,0.6161732046989765,0.9868750078654256,0.6407481670610133,-0.3074148337276801,-0.3333333333333333,132.42323748028258
1986-10-21,129.621658269091,90.0,0.6112109656906601,0.9855282562483462,0.6381241403713444,-0.3047908070380107,-0.3333333333333333,129.621658269091
1986-11-20,126.68407823097577,90.0,0.603692028722506,0.983462131241762,0.6341200665130254,-0.30078673317969196,-0.3333333333333333,126.68407823097577
1986-12-20,123.50734103639816,90.0,0.5926833462977654,0.9803770991445172,0.6281949321234526,-0.2948615987901191,-0.3333333333333333,123.50734103639816
1987-01-19,119.92877943158321,90.0,0.574075475574036,0.9749613783651946,0.6180029098974588,-0.2846695765641253,-0.3333333333333333,119.92877943158321
1987-02-18,115.70929623056965,90.0,0.529641763531654,0.9603483871094488,0.5926802209492665,-0.25934688761593333,-0.3333333333333333,115.70929623056965
1987-03-20,113.59839334620298,90.0,0.43364561447448524,0.8915565131014415,0.5320287800609119,-0.1986954467275784,-0.3333333333333333,113.59839334620298
1987-04-19,114.34554153191385,90.0,0.4127679702760237,0.7555382401147849,0.5174524300674617,-0.18411909673412824,-0.3333333333333333,114.34554153191385
1987-05-19,113.74325498004625,90.0,0.4173121571045999,0.6099947061944291,0.5206761936839019,-0.1873428603505685,-0.3333333333333333,113.74325498004625
1987-06-18,112.57476691388916,90.0,0.4233386528123448,0.4676325530799669,0.5249067999192645,-0.19157346658593125,-0.3333333333333333,112.57476691388916
