theta1,theta2,omega1,omega2,state,impulse
78.6291740872893,-3.4987031072250043,-14.54685627885192,-11.13445230236573,1,0
78.58954687333598,-3.529157777598085,-14.400684211845146,-11.112076189599179,1,0
78.55032023808002,-3.5595495203097367,-14.254269987164662,-11.088505206487184,1,0
78.51149474472727,-3.5898751230134844,-14.107685665036115,-11.06378258128666,1,0
78.47307076147476,-3.6201314920074044,-13.961001589044827,-11.03795170276976,1,0
78.43504846634785,-3.650315652528993,-13.814286291002645,-11.011056016715543,1,0
78.39742785228377,-3.6804247487724453,-13.667606406444975,-10.983138927054597,0,0
78.36020873243166,-3.710456043642228,-13.521026600743426,-10.954243702128565,0,0
78.32339074564041,-3.7404069182570647,-13.374609505623084,-10.9244133861597,0,0
78.28697336210655,-3.7702748712187355,-13.22841566542229,-10.893690715915682,0,0
78.25095588915624,-3.8000575176597513,-13.082503492953037,-10.862118042694988,0,0
78.21533747713487,-3.829752588084964,-12.936929234601848,-10.829737259740455,0,0
78.18011712538019,-3.8593579270217804,-12.791746944232727,-10.796589734933036,0,0
78.14529368825474,-3.8888714914932216,-12.647008466019543,-10.762716249169102,0,0
78.11086588121307,-3.918291349330714,-12.502763425176454,-10.728156940127178,0,0
78.07683228688485,-3.9476156773392295,-12.35905922580423,-10.692951250913552,0,0
78.0431913611539,-3.9768427593288718,-12.215941055872463,-10.657137883940436,0,0
78.00994143921409,-4.005970984027472,-12.073451898844723,-10.62075475983545,0,0
77.9770807415846,-4.034998842887178,-11.931632551266375,-10.583838981080135,0,0
77.94460738006957,-4.063924927797932,-11.790521645963963,-10.546426800382278,0,0
77.91251936364641,-4.092747928720893,-11.65015568020317,-10.508553593366628,0,0
77.88081460427105,-4.121466631252369,-11.510569048645266,-10.470253835615381,0,0
77.84949092258607,-4.150079914131519,-11.371794080507243,-10.431561083887914,0,0
77.81854605352221,-4.1785867467014475,-11.233861080259885,-10.392507960957118,0,0
77.78797765178382,-4.206986186333884,-11.096798371712794,-10.353126144247312,0,0
77.75778329720893,-4.2352773758280575,-10.960632344631449,-10.313446357667317,0,0
77.72796049999938,-4.263459540790652,-10.825387503835373,-10.273498366532976,0,0
77.69850670581216,-4.291531987006883,-10.691086520788303,-10.233310975790914,0,0
77.6694193007069,-4.3194940978107255,-10.557750286739974,-10.192912030855496,0,0
77.64069561594637,-4.347345331460575,-10.425397967188474,-10.152328420901767,0,0
77.61233293264564,-4.375085218527505,-10.294047057583157,-10.111586084648366,0,0
77.58432848626761,-4.4027133593025916,-10.163713439616913,-10.070710018133695,0,0
77.55667947096396,-4.430229421227758,-10.034411438115058,-10.029724284401027,0,0
77.52938304375911,-4.457633136356122,-9.906153878386249,-9.988652025151168,0,0
77.50243632857718,-4.484924298846655,-9.778952143387869,-9.947515473789963,0,0
77.47583642011291,-4.512102762495971,-9.652816230618555,-9.906335969804672,0,0
77.44958038754709,-4.539168438311705,-9.527754808797908,-9.865133974424452,0,0
77.42366527810718,-4.566121292130054,-9.403775274278814,-9.823929087570718,0,0
77.39808812047369,-4.592961342281976,-9.280883806741258,-9.78274006575657,0,0
77.37284592803604,-4.6196886573087355,-9.159085423734723,-9.741584840526684,0,0
77.34793570200013,-4.646303353729077,-9.038384034432966,-9.700480537688236,0,0
77.3233544343499,-4.672805593860073,-8.918782492370156,-9.65944349713152,0,0
77.29909911066613,-4.699195583692836,-8.800282647023778,-9.618489293072685,0,0
77.27516671280561,-4.725473570824195,-8.682885394200639,-9.577632754630827,0,0
77.25155422144395,-4.751639842445091,-8.566590725406058,-9.536887986829242,0,0
77.22825861848443,-4.777694723387256,-8.451397775757869,-9.496268391733224,0,0
77.2052768893385,-4.803638574227341,-8.33730487025241,-9.455786689444267,0,0
77.18260602508127,-4.8294717894485535,-8.224309569030083,-9.415454939383267,0,0
77.16024302448413,-4.855194795661334,-8.112408711043827,-9.375284561425701,0,0
