Longtitude,Latitude,Date,dLong,dLat
248.583,75.42,1679-01-01,-0.0409999999999968,-0.039999999999992
248.539,75.382,1680-01-01,-0.0440000000000111,-0.0379999999999967
248.49,75.345,1681-01-01,-0.0489999999999782,-0.0370000000000061
248.436,75.309,1682-01-01,-0.054000000000002,-0.0360000000000014
248.376,75.274,1683-01-01,-0.0600000000000023,-0.0349999999999966
248.311,75.239,1684-01-01,-0.0649999999999977,-0.0349999999999966
248.241,75.204,1685-01-01,-0.0699999999999932,-0.0350000000000108
248.166,75.168,1686-01-01,-0.0750000000000171,-0.0359999999999872
248.086,75.131,1687-01-01,-0.0799999999999841,-0.0370000000000061
248.002,75.092,1688-01-01,-0.0840000000000032,-0.0390000000000015
247.913,75.052,1689-01-01,-0.0889999999999986,-0.039999999999992
247.819,75.011,1690-01-01,-0.0940000000000225,-0.041000000000011
247.721,74.969,1691-01-01,-0.0979999999999848,-0.0420000000000016
247.618,74.927,1692-01-01,-0.103000000000009,-0.0419999999999874
247.51,74.883,1693-01-01,-0.108000000000004,-0.0440000000000111
247.398,74.84,1694-01-01,-0.111999999999995,-0.0429999999999922
247.283,74.796,1695-01-01,-0.115000000000009,-0.0439999999999969
247.163,74.752,1696-01-01,-0.119999999999976,-0.0440000000000111
247.039,74.709,1697-01-01,-0.124000000000024,-0.0429999999999922
246.913,74.666,1698-01-01,-0.125999999999976,-0.0430000000000064
246.782,74.625,1699-01-01,-0.131,-0.0409999999999968
246.65,74.582,1700-01-01,-0.132000000000005,-0.0430000000000064
246.516,74.541,1701-01-01,-0.134000000000015,-0.0409999999999968
246.381,74.499,1702-01-01,-0.134999999999991,-0.0420000000000016
246.248,74.458,1703-01-01,-0.13300000000001,-0.0409999999999968
246.119,74.416,1704-01-01,-0.128999999999991,-0.0420000000000016
245.995,74.374,1705-01-01,-0.123999999999995,-0.0420000000000016
245.879,74.33,1706-01-01,-0.116000000000014,-0.0439999999999969
245.772,74.284,1707-01-01,-0.106999999999999,-0.0459999999999923
245.676,74.235,1708-01-01,-0.0960000000000036,-0.0490000000000066
245.591,74.183,1709-01-01,-0.0849999999999795,-0.0519999999999925
245.519,74.129,1710-01-01,-0.0720000000000027,-0.054000000000002
245.459,74.072,1711-01-01,-0.0600000000000023,-0.0570000000000022
245.413,74.013,1712-01-01,-0.0459999999999923,-0.0589999999999975
245.38,73.952,1713-01-01,-0.0330000000000155,-0.0610000000000071
245.359,73.89,1714-01-01,-0.0209999999999866,-0.0619999999999976
245.348,73.826,1715-01-01,-0.0109999999999957,-0.0640000000000072
245.348,73.76,1716-01-01,0,-0.0659999999999883
245.355,73.694,1717-01-01,0.00699999999997658,-0.0660000000000025
245.369,73.628,1718-01-01,0.01400000000001,-0.0660000000000025
245.389,73.562,1719-01-01,0.0200000000000102,-0.0660000000000025
245.411,73.499,1720-01-01,0.0219999999999914,-0.0630000000000024
245.434,73.438,1721-01-01,0.0229999999999961,-0.0609999999999928
245.455,73.381,1722-01-01,0.021000000000015,-0.0570000000000022
245.474,73.327,1723-01-01,0.018999999999977,-0.054000000000002
245.487,73.28,1724-01-01,0.0130000000000052,-0.046999999999997
245.494,73.24,1725-01-01,0.007000000000005,-0.0400000000000063
245.493,73.208,1726-01-01,-0.00100000000000477,-0.0319999999999965
245.486,73.182,1727-01-01,-0.007000000000005,-0.0259999999999963
245.473,73.164,1728-01-01,-0.0129999999999768,-0.0180000000000007
245.457,73.152,1729-01-01,-0.0160000000000196,-0.0120000000000005
