t,sep_venus_mars,signed_sep_venus_mars,sep_venus_jupiter,signed_sep_venus_jupiter,sep_venus_saturn,signed_sep_venus_saturn,sep_mars_jupiter,signed_sep_mars_jupiter,sep_mars_saturn,signed_sep_mars_saturn,sep_jupiter_saturn,signed_sep_jupiter_saturn,sep_sun_jupiter,signed_sep_sun_jupiter,sep_sun_saturn,signed_sep_sun_saturn,sep_moon_sun,signed_sep_moon_sun,sep_moon_venus,signed_sep_moon_venus,sep_moon_mars,signed_sep_moon_mars
1999-09-17,109.6798553119458,-109.6798553119458,105.33769133172632,105.33769133172632,92.56412638527968,92.56412638527968,144.98245335632788,-144.98245335632788,157.75601830277452,-157.75601830277452,12.77356494644664,-12.77356494644664,139.54695422488226,139.54695422488226,126.77338927843562,126.77338927843562,80.88849024682281,80.88849024682281,115.09775313997875,115.09775313997875,5.41789782803292,5.41789782803292
1999-09-18,110.10646412156876,-110.10646412156876,105.65046581618373,105.65046581618373,92.83351009518304,92.83351009518304,144.2430700622475,-144.2430700622475,157.0600257832482,-157.0600257832482,12.816955721000681,-12.816955721000681,140.5979495467895,140.5979495467895,127.78099382578881,127.78099382578881,91.77338803457644,91.77338803457644,126.72087176518221,126.72087176518221,16.614407643613447,16.614407643613447
1999-09-19,110.50207845044719,-110.50207845044719,105.99946744418867,105.99946744418867,93.13787094664701,93.13787094664701,143.49845410536415,-143.49845410536415,156.3600506029058,-156.3600506029058,12.861596497541655,-12.861596497541655,141.6522983805267,141.6522983805267,128.79070188298505,128.79070188298505,102.73236598489035,102.73236598489035,138.38519692122838,138.38519692122838,27.8831184707812,27.8831184707812
1999-09-20,110.86760322798855,-110.86760322798855,106.38370063379551,106.38370063379551,93.47624491805357,93.47624491805357,142.7486961382159,-142.7486961382159,155.6561518539579,-155.6561518539579,12.907455715741946,-12.907455715741946,142.70995714100417,142.70995714100417,129.80250142526222,129.80250142526222,113.84989541077027,113.84989541077027,150.17615191797893,150.17615191797893,39.308548689990374,39.308548689990374
1999-09-21,111.20395030207595,-111.20395030207595,106.80216214436996,106.80216214436996,93.8476615318832,93.8476615318832,141.9938875535541,-141.9938875535541,154.94838816604084,-154.94838816604084,12.954500612486754,-12.954500612486754,143.77088262475684,143.77088262475684,130.81638201227008,130.81638201227008,125.20640082213038,125.20640082213038,162.17512130251725,162.17512130251725,50.9711710004413,50.9711710004413
1999-09-22,111.51203190971543,-111.51203190971543,107.25384802206531,107.25384802206531,94.25115072565029,94.25115072565029,141.23412006821923,-141.23412006821923,154.23681736463425,-154.23681736463425,13.002697296415022,-13.002697296415022,144.83503246599275,144.83503246599275,131.83233516957773,131.83233516957773,136.87180897888982,136.87180897888982,174.45299342281726,174.45299342281726,62.940961513101826,62.940961513101826
1999-09-23,111.79275563913163,-111.79275563913163,107.73775925817216,107.73775925817216,94.68574841955137,94.68574841955137,140.46948510269624,-140.46948510269624,153.52149594131697,-153.52149594131697,13.052010838620788,-13.052010838620788,145.90236566471748,145.90236566471748,132.8503548260967,132.8503548260967,148.89799950138263,148.89799950138263,172.93739409207205,-172.93739409207205,75.26985026879632,75.26985026879632
1999-09-24,112.04702108510679,-112.04702108510679,108.252905940608,108.252905940608,95.15050057752376,95.15050057752376,139.7000729742852,-139.7000729742852,152.80247833736945,-152.80247833736945,13.102405363084245,-13.102405363084245,146.9728430408028,146.9728430408028,133.87043767771854,133.87043767771854,161.3107259748616,161.3107259748616,159.9693369249436,-159.9693369249436,87.9836419899496,87.9836419899496
1999-09-25,112.2757182692018,-112.2757182692018,108.79830972421706,108.79830972421706,95.64446561489899,95.64446561489899,138.9259720065811,-138.9259720065811,152.07981611589923,-152.07981611589923,13.153844109318072,-13.153844109318072,148.04642740166594,148.04642740166594,134.89258329234792,134.89258329234792,174.10252492211066,174.10252492211066,146.64935740044046,-146.64935740044046,101.0749243303577,101.0749243303577
1999-09-26,112.47972762374877,-112.47972762374877,109.3730046224245,109.3730046224245,96.1667151893543,96.1667151893543,138.14726775382672,-138.14726775382672,151.35355718689692,-151.35355718689692,13.206289433070197,-13.206289433070197,149.12308318914438,149.12308318914438,135.91679375607418,135.91679375607418,172.7709209171908,-172.7709209171908,133.0208423504709,-133.0208423504709,114.49943002578033,114.49943002578033
1999-09-27,112.6599209637584,-112.6599209637584,109.97603643520944,109.97603643520944,96.71633371941647,96.71633371941647,137.36404260103217,-137.36404260103217,150.62374531682514,-150.62374531682514,13.259702715792969,-13.259702715792969,150.20277543982627,150.20277543982627,136.9430727240333,136.9430727240333,159.38828542552116,-159.38828542552116,119.16154642090436,-119.16154642090436,128.17853261533725,128.17853261533725
1999-09-28,112.81716254846759,-112.81716254846759,110.60646147850724,110.60646147850724,97.29241730434654,97.29241730434654,136.57637597302516,-136.57637597302516,149.89042014718586,-149.89042014718586,13.3140441741607,-13.3140441741607,151.28546806848112,151.28546806848112,137.97142389432042,137.97142389432042,145.8526087063494,-145.8526087063494,105.17360211637549,-105.17360211637549,142.00923533515692,142.00923533515692
1999-09-29,112.95230927684588,-112.95230927684588,111.26334547968992,111.26334547968992,97.89407288732843,97.89407288732843,135.7843452434642,-135.7843452434642,149.15361783582568,-149.15361783582568,13.369272592361483,-13.369272592361483,152.3711217124996,152.3711217124996,139.0018491201381,139.0018491201381,132.2753024700051,-132.2753024700051,91.16752623719543,-91.16752623719543,155.8801644859587,155.8801644859587
1999-09-30,113.0662093797992,-113.0662093797992,111.94576339386833,111.94576339386833,98.52041836621714,98.52041836621714,134.98802722633246,-134.98802722633246,148.41337225398365,-148.41337225398365,13.42534502765119,-13.42534502765119,153.45969154253106,153.45969154253106,140.03434651487987,140.03434651487987,118.75858899907166,-118.75858899907166,77.24466085040893,-77.24466085040893,169.68912976979186,169.68912976979186
1999-10-01,113.1596995433739,-113.1596995433739,112.65280049471414,112.65280049471414,99.17058394619369,99.17058394619369,134.18749996191195,-134.18749996191195,147.6697165104324,-147.6697165104324,13.482216548520455,-13.482216548520455,154.55112545390114,154.55112545390114,141.06890890538068,141.06890890538068,105.38179759625163,-105.38179759625163,63.483472637064665,-63.483472637064665,176.64317218043857,-176.64317218043857
1999-10-02,113.23360092738051,-113.23360092738051,113.38355461051401,113.38355461051401,99.84371455946524,99.84371455946524,133.38284446210548,-133.38284446210548,146.92268451315425,-146.92268451315425,13.53984005104877,-13.53984005104877,155.64536290562933,155.64536290562933,142.10552285458056,142.10552285458056,92.19515322926907,-92.19515322926907,49.93334493415375,-49.93334493415375,163.16694586153426,-163.16694586153426
1999-10-03,113.288714789025,-113.288714789025,114.13713905224142,114.13713905224142,100.53897287940276,100.53897287940276,132.57414615873358,-132.57414615873358,146.17231233157224,-146.17231233157224,13.59816617283866,-13.59816617283866,156.7423344652567,156.7423344652567,143.14416829241804,143.14416829241804,79.22141141923237,-79.22141141923237,36.61621600621709,-36.61621600621709,149.90493079524208,-149.90493079524208
1999-10-04,113.32581835077974,-113.32581835077974,114.91268571550444,114.91268571550444,101.25554241524082,101.25554241524082,131.76149593371582,-131.76149593371582,145.41863923397943,-145.41863923397943,13.657143300263613,-13.657143300263613,157.8419619579971,157.8419619579971,144.1848186577335,144.1848186577335,66.46300518475181,-66.46300518475181,23.53372894225913,-23.53372894225913,136.85954729303887,-136.85954729303887
1999-10-05,113.34566131130208,-113.34566131130208,115.70934796399217,115.70934796399217,101.99263031172472,101.99263031172472,130.94499072470575,-130.94499072470575,144.6617083769732,-144.6617083769732,13.716717652267448,-13.716717652267448,158.944159056432,158.944159056432,145.22744140416455,145.22744140416455,53.91136832322471,-53.91136832322471,10.676557230784908,-10.676557230784908,124.02221854208699,-124.02221854208699
1999-10-06,113.34896316005069,-113.34896316005069,116.5263030820289,116.5263030820289,102.74946965995434,102.74946965995434,130.1247337579204,-130.1247337579204,143.90156717999497,-143.90156717999497,13.77683342207456,-13.77683342207456,160.04883216169844,160.04883216169844,146.27199873962388,146.27199873962388,41.55551200561055,-41.55551200561055,1.9670170740590152,1.9670170740590152,111.38194608599167,-111.38194608599167
1999-10-07,113.33641131248044,-113.33641131248044,117.36275421749974,117.36275421749974,103.52532125618995,103.52532125618995,129.30083447001982,-129.30083447001982,143.1382674313296,-143.1382674313296,13.837432961309787,-13.837432961309787,161.15588146946993,161.15588146946993,147.31844850816015,147.31844850816015,29.38795112560379,-29.38795112560379,14.405176126366428,14.405176126366428,98.93123518611401,-98.93123518611401
1999-10-08,113.30866003318744,-113.30866003318744,118.21793179565992,118.21793179565992,104.31947480171948,104.31947480171948,128.47340817115264,-128.47340817115264,142.37186516509308,-142.37186516509308,13.898456993940442,-13.898456993940442,162.26520214502585,162.26520214502585,148.3667451510854,148.3667451510854,17.407132615063006,-17.407132615063006,26.640137734302925,26.640137734302925,86.66852229888451,-86.66852229888451
