lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
88,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
89,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
90,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
91,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
92,0.040865384615384616,0.050024050024050026,Venus,0.8169147559171598
93,0.042067307692307696,0.050024050024050026,Venus,0.8409416605029586
94,0.04326923076923077,0.050024050024050026,Venus,0.8649685650887573
95,0.04447115384615385,0.050024050024050026,Venus,0.8889954696745562
96,0.04567307692307692,0.050024050024050026,Venus,0.9130223742603549
97,0.046875,0.050024050024050026,Venus,0.9370492788461539
98,0.04807692307692308,0.050024050024050026,Venus,0.9610761834319527
99,0.04927884615384615,0.050024050024050026,Venus,0.9851030880177514
100,0.05048076923076923,0.050024050024050026,Venus,1.0091299926035502
101,0.05048076923076923,0.050024050024050026,Venus,1.0091299926035502
102,0.05048076923076923,0.050024050024050026,Venus,1.0091299926035502
103,0.04927884615384615,0.050024050024050026,Venus,0.9851030880177514
104,0.04807692307692308,0.050024050024050026,Venus,0.9610761834319527
105,0.046875,0.050024050024050026,Venus,0.9370492788461539
106,0.04567307692307692,0.050024050024050026,Venus,0.9130223742603549
107,0.04447115384615385,0.050024050024050026,Venus,0.8889954696745562
108,0.04326923076923077,0.050024050024050026,Venus,0.8649685650887573
109,0.042067307692307696,0.050024050024050026,Venus,0.8409416605029586
110,0.040865384615384616,0.050024050024050026,Venus,0.8169147559171598
111,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
112,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
113,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
114,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
115,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
116,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
117,0.040865384615384616,0.050024050024050026,Venus,0.8169147559171598
118,0.042067307692307696,0.050024050024050026,Venus,0.8409416605029586
119,0.04326923076923077,0.050024050024050026,Venus,0.8649685650887573
120,0.04447115384615385,0.050024050024050026,Venus,0.8889954696745562
121,0.04567307692307692,0.050024050024050026,Venus,0.9130223742603549
122,0.046875,0.050024050024050026,Venus,0.9370492788461539
123,0.04807692307692308,0.050024050024050026,Venus,0.9610761834319527
124,0.04927884615384615,0.050024050024050026,Venus,0.9851030880177514
125,0.05048076923076923,0.050024050024050026,Venus,1.0091299926035502
126,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
127,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
128,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
129,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
130,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
131,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
132,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
133,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
134,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
135,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
136,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
137,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
138,0.052884615384615384,0.050024050024050026,Venus,1.0571838017751478
139,0.055288461538461536,0.050024050024050026,Venus,1.1052376109467454
140,0.05889423076923077,0.050024050024050026,Venus,1.1773183247041419
141,0.0625,0.050024050024050026,Venus,1.2493990384615383
142,0.06610576923076923,0.050024050024050026,Venus,1.3214797522189348
143,0.06850961538461539,0.050024050024050026,Venus,1.3695335613905326
144,0.07091346153846154,0.050024050024050026,Venus,1.41758737056213
145,0.0733173076923077,0.050024050024050026,Venus,1.4656411797337279
146,0.07572115384615384,0.050024050024050026,Venus,1.5136949889053253
147,0.078125,0.050024050024050026,Venus,1.561748798076923
148,0.08052884615384616,0.050024050024050026,Venus,1.6098026072485208
149,0.08173076923076923,0.050024050024050026,Venus,1.6338295118343196
150,0.0829326923076923,0.050024050024050026,Venus,1.6578564164201182
151,0.08533653846153846,0.050024050024050026,Venus,1.705910225591716
152,0.08774038461538461,0.050024050024050026,Venus,1.7539640347633134
153,0.09014423076923077,0.050024050024050026,Venus,1.802017843934911
154,0.09254807692307693,0.050024050024050026,Venus,1.850071653106509
155,0.09495192307692307,0.050024050024050026,Venus,1.8981254622781063
156,0.0985576923076923,0.050024050024050026,Venus,1.9702061760355027
157,0.10216346153846154,0.050024050024050026,Venus,2.042286889792899
158,0.10576923076923077,0.050024050024050026,Venus,2.1143676035502956
159,0.109375,0.050024050024050026,Venus,2.186448317307692
160,0.11177884615384616,0.050024050024050026,Venus,2.23450212647929
161,0.1141826923076923,0.050024050024050026,Venus,2.2825559356508873
162,0.11658653846153846,0.050024050024050026,Venus,2.330609744822485
163,0.11899038461538461,0.050024050024050026,Venus,2.3786635539940826
