date,theta_raw_rad,sun_phase_rad,theta_residual_minus_sun_rad,R,high_R
1992-03-28,-2.213714710022881,1.4859439567351114,2.583526640421594,0.5872466867570869,False
1992-03-29,-2.229884017651923,1.5026557048817448,2.5506455846459186,0.5860781448082323,False
1992-03-30,-2.246032788540088,1.519409952034084,2.5177425666054143,0.5843200745278331,False
1992-03-31,-2.262161531444388,1.5362339643828733,2.484789811352325,0.5820288382099401,False
1992-04-01,-2.2782711060703456,1.5531354414656633,2.4517787596435774,0.5792564258975834,False
1992-04-02,-2.2943624769222986,1.570127338617458,2.4186954916398298,0.5760404126240434,False
1992-04-03,-2.310436185908354,1.5872116402271796,2.385537481044052,0.5723940581617651,False
1992-04-04,-2.3264912984422317,1.6043850715283243,2.3523089372090302,0.5683047626353425,False
1992-04-05,-2.3425247992924447,1.6216446638167552,2.3190158440703863,0.5637389848443071,False
1992-04-06,-2.3585317878544565,1.6389737847163115,2.2856797346088182,0.5586600975765778,False
1992-04-07,-2.374505389387135,1.656368717501298,2.252311200291153,0.5530480985764223,False
1992-04-08,-2.3904367565827833,1.6738037832286459,2.218944767368157,0.5469069469302338,False
1992-04-09,-2.40631580306383,1.6912782726364775,2.185591231479279,0.5402730138337754,False
1992-04-10,-2.422132852205319,1.7087602153389128,2.1522922396353543,0.5332080235765512,False
1992-04-11,-2.4378799931610864,1.7262537426829399,2.11905157133556,0.5257833493045413,False
1992-04-12,-2.4535516355150655,1.7437216933625157,2.085911978302005,0.5180682271071422,False
1992-04-13,-2.4691444357838996,1.761173669812246,2.0528672015834406,0.5101244026798942,False
1992-04-14,-2.4846562817136366,1.7785677919940976,2.019961233471852,0.5019976196333783,False
1992-04-15,-2.500085033477216,1.795919590789234,1.9871806829131362,0.4937141379732535,False
1992-04-16,-2.515427649911512,1.8131832350227732,1.954574422245301,0.4852807001229272,False
1992-04-17,-2.530679965448723,1.8303812681678062,1.9221240735630571,0.4766831710759278,False
1992-04-18,-2.5458373943544323,1.8474656290404337,1.8898822837847202,0.4678810103025211,False
1992-04-19,-2.5608954511740585,1.8644680242153182,1.8578218317902095,0.4588525213454899,False
1992-04-20,-2.575849989982313,1.8813409138787653,1.825994403318508,0.4495696176138237,False
1992-04-21,-2.5906971883267538,1.8981279366180814,1.794360182234751,0.4399768309374484,False
1992-04-22,-2.605433920971489,1.9147847980825565,1.7629665881255407,0.4299929502790273,False
1992-04-23,-2.620058487910807,1.931368906542441,1.731757912726338,0.4195321150863565,False
1992-04-24,-2.6345714240539273,1.9478401808967947,1.7007737022288643,0.4085601133817274,False
1992-04-25,-2.6489754434864032,1.9642692462230968,1.6699406174700862,0.3971074164524645,False
1992-04-26,-2.6632749386412335,1.980618569190808,1.6392917993475447,0.3852311333946197,False
1992-04-27,-2.6774754527335,1.9969688748645087,1.6087409795815777,0.3729823228755194,False
1992-04-28,-2.691583232223248,2.0132812457789537,1.5783208291773843,0.3604062564906769,False
1992-04-29,-2.705604807788628,2.0296415771518674,1.5479389222390907,0.3475456872054099,False
1992-04-30,-2.7195460880553206,2.0460044032554805,1.5176348158687851,0.3344657735263585,False
1992-05-01,-2.7334117146742862,2.0624554794424874,1.4873181130628126,0.321261731534297,False
1992-05-02,-2.7472048647353624,2.0789382972664088,1.457042145177815,0.308044787808475,False
1992-05-03,-2.7609274758954534,2.0955350411268547,1.426722790157278,0.2948976682018515,False
1992-05-04,-2.7745807346226137,2.112176478198027,1.3964280943589458,0.2818590446441337,False
1992-05-05,-2.788166039945122,2.128941041068508,1.366078226165957,0.2689239370762775,False
1992-05-06,-2.8016858224136847,2.1457480230535566,1.335751461712345,0.2560550704072638,False
1992-05-07,-2.81514324428613,2.1626740135183216,1.3053680493751347,0.2431992503073607,False
1992-05-08,-2.828541828877558,2.179629074561019,1.2750144037410092,0.2303113721028182,False
1992-05-09,-2.8418856318768597,2.1966898975857614,1.2446097777169651,0.2173679798367217,False
1992-05-10,-2.855179007977565,2.2137589522543077,1.2142473469477135,0.2043713029219971,False
1992-05-11,-2.8684263136714883,2.2309140797368823,1.1838449137712157,0.1913574286133048,False
1992-05-12,-2.8816313433990324,2.2480508884347694,1.1535030753457844,0.1783952584795186,False
1992-05-13,-2.8947966750027057,2.265248659690001,1.1231399724868796,0.1655628894374644,False
1992-05-14,-2.9079232645025392,2.2823964083319206,1.0928656343451264,0.1529020752742766,False
1992-05-15,-2.921010394956607,2.299575047784834,1.0625998644381456,0.1404147056389842,False
1992-05-16,-2.9340561334891184,2.3166676817296485,1.0324614919608193,0.128070826214156,False
1992-05-17,-2.947058104888594,2.3337580363608197,1.0023691659301726,0.1158457992901415,False
1992-05-18,-2.960014461828788,2.3507256289184104,0.972445216432388,0.1037223845336729,False
1992-05-19,-2.9729242693815188,2.3676602554970936,0.9426007823009739,0.0916952009896347,False
1992-05-20,-2.9857876485387287,2.384442307820292,0.9129553508205657,0.0797566802313703,False
1992-05-21,-2.9986057976998346,2.4011723448362616,0.88340716464349,0.0678830235352776,False
1992-05-22,-3.0113808906596766,2.4177362252314145,0.8540681912884951,0.0560837163805939,False
1992-05-23,-3.0241158323787083,2.4342483650208866,0.8248211097799913,0.0444027173451265,False
1992-05-24,-3.0368136929716307,2.450601685135668,0.7957699290722875,0.0328994168570628,False
1992-05-25,-3.049477056481418,2.466923796215111,0.7667844544830569,0.0216120508937753,False
1992-05-26,-3.062107692309109,2.4831126957503304,0.737964919120147,0.0105475533889826,False
1992-05-27,-3.074706788513108,2.4993056605641835,0.7091728581022947,-0.0003185589401821,False
1992-05-28,-3.087275287152206,2.515401904980674,0.680508115046706,-0.0110523009293917,False
1992-05-29,-3.099814233566473,2.531543849378785,0.6518272242343279,-0.0217520645950286,False
1992-05-30,-3.112325147005659,2.547627805451407,0.6232323547225196,-0.0325136698706243,False
1992-05-31,-3.1248103939831786,2.563797156817486,0.5945777563789214,-0.0433801886386765,False
1992-06-01,-3.137272666634967,2.5799420625140455,0.5659705780305737,-0.0543374884244347,False
1992-06-02,3.1334710554938106,2.596204039146034,0.5372670163477764,-0.0653448740703489,False
1992-06-03,3.1210483515337124,2.612465496202619,0.5085828553310936,-0.0763458999273769,False
1992-06-04,3.1086431265676673,2.6288650210930395,0.47977810547462774,-0.0872737826794625,False
1992-06-05,3.096253940340329,2.645277251238877,0.45097668910145217,-0.0980893647181841,False
1992-06-06,3.0838790668591223,2.6618380015969105,0.42204106526221175,-0.1087974024930918,False
1992-06-07,3.071516083586669,2.678414823766584,0.39310125982008515,-0.119427617124215,False
1992-06-08,3.0591617558951576,2.6951411700542005,0.3640205858409571,-0.1299942137084274,False
1992-06-09,3.046813064072307,2.7118780258767465,0.33493503819556025,-0.1404776068399659,False
1992-06-10,3.034467434268219,2.7287564617399385,0.3057109725282805,-0.1508268354442793,False
1992-06-11,3.022122818735806,2.7456308063621293,0.2764920123736765,-0.1609851465614242,False
1992-06-12,3.0097774400685715,2.762629103578327,0.2471483364902447,-0.1709475450313844,False
1992-06-13,2.997428997794753,2.779598426417591,0.21783057137716177,-0.1806844876608918,False
1992-06-14,2.9850743492174097,2.7966630247320055,0.1884113244854042,-0.1901280373857004,False
1992-06-15,2.9727099414762073,2.8136626816850105,0.15904725979119672,-0.1992251991204326,False
1992-06-16,2.9603325172501904,2.8307186966282067,0.12961382062198368,-0.2079619486107283,False
1992-06-17,2.9479386621651678,2.847666323168882,0.10027233899628563,-0.2163647368230843,False
1992-06-18,2.9355244243159255,2.864628406874928,0.07089601744099738,-0.224504089671381,False
1992-06-19,2.9230853397895054,2.8814419918144143,0.04164334797509106,-0.2324863030378802,False
1992-06-20,2.9106164680718187,2.8982380716469525,0.012378396424866267,-0.2404556774617585,False
1992-06-21,2.898112724303541,2.9148614682877554,-0.016748743984214443,-0.2485598711265856,False
