signal,raw_high_R_plv,raw_background_plv,raw_delta,raw_p,residual_high_R_plv,residual_background_plv,residual_delta,residual_p,best_residual_lag_days,best_residual_lag_plv,raw_fdr_q,residual_fdr_q
combo_Mars_Uranus,0.2595295668491497,0.012989604431755676,0.246539962417394,0.42019326891036324,0.11839503646662641,0.021971586825016796,0.09642344964160962,0.655781406197934,181,0.1605577423687804,0.921438467879128,0.9866711096301233
combo_Mars_Saturn_Pluto,0.11529457440116443,0.006715218323095503,0.10857935607806893,0.8130623125624792,0.1180787618091511,0.009923761426028983,0.10815500038312212,0.5928023992002666,210,0.19026064550874566,0.9360465279080643,0.9866711096301233
combo_Mars_Pluto_Moon,0.17945891483366405,0.016024569498935062,0.163434345334729,0.5111629456847717,0.11361386441135868,0.015139988161181967,0.09847387625017671,0.5258247250916361,55,0.19673119172905099,0.921438467879128,0.9866711096301233
combo_Venus_Uranus_Moon,0.142915068285937,0.005736546618143046,0.13717852166779396,0.214595134955015,0.11327003647885164,0.005697093215417851,0.10757294326343379,0.33188937020993003,29,0.12488243951968894,0.8945510226749812,0.9866711096301233
combo_Mercury_Neptune_Moon,0.06926418974206625,0.014702257523839678,0.05456193221822657,0.6164611796067977,0.1121117863207739,0.020038682541372203,0.0920731037794017,0.20593135621459513,69,0.11470685438310615,0.9262952235294788,0.9866711096301233
combo_Mars_Jupiter_Pluto,0.10891551053860024,0.0949390034505954,0.013976507088004839,0.8580473175608131,0.11125591300216375,0.04942333009971005,0.061832582902453706,0.651782739086971,57,0.3303583585737984,0.9380858009736103,0.9866711096301233
combo_Mercury_Jupiter,0.1408421333190924,0.07209255071177012,0.06874958260732228,0.5734755081639453,0.11033026069637249,0.03225288761230787,0.07807737308406462,0.5858047317560813,62,0.20369217859809552,0.9262952235294788,0.9866711096301233
combo_Uranus_Pluto,0.21621476948590396,0.022725886380950515,0.19348888310495344,0.33055648117294234,0.1064299250535469,0.014080405202194987,0.09234951985135191,0.5581472842385872,240,0.20406959356570098,0.9057247584138621,0.9866711096301233
combo_Mercury_Venus_Jupiter,0.22402565267124783,0.05404577673983675,0.16997987593141106,0.17794068643785405,0.10557779611776057,0.03029079579231403,0.07528700032544654,0.850049983338887,63,0.2730420067980473,0.8945510226749812,0.9866711096301233
combo_Saturn_Pluto,0.06504743254036868,0.028371574317361745,0.03667585822300694,0.8603798733755414,0.10543201630707062,0.01703349331045498,0.08839852299661564,0.6541152949016994,53,0.17722779810013237,0.9380858009736103,0.9866711096301233
combo_Mars_Saturn,0.3015790466160214,0.028158202617942257,0.27342084399807914,0.27224258580473176,0.10492334462380452,0.002176927918667963,0.10274641670513657,0.7424191936021326,181,0.24564189338257775,0.8945510226749812,0.9866711096301233
combo_Mercury_Uranus,0.1330721405337095,0.029865434171204148,0.10320670636250535,0.4301899366877707,0.10490925043231715,0.02716056890555472,0.07774868152676243,0.46217927357547484,178,0.20004975914797324,0.921438467879128,0.9866711096301233
combo_Mars_Saturn_Neptune,0.25271798242054133,0.03330891099053544,0.21940907143000588,0.2562479173608797,0.1046109326819847,0.013961150432719989,0.0906497822492647,0.5778073975341553,41,0.21061824851344735,0.8945510226749812,0.9866711096301233
combo_Mercury_Mars_Uranus,0.09577472766628348,0.0006511386407567315,0.09512358902552674,0.8967010996334556,0.10457247340038346,0.030641290067930323,0.07393118333245313,0.7620793068977008,170,0.26977364462629133,0.9380858009736103,0.9866711096301233
combo_Mercury_Saturn_Neptune,0.17284823045084813,0.019450789439457543,0.15339744101139058,0.2049316894368544,0.10411744128777198,0.014342932406875319,0.08977450888089666,0.4478507164278574,79,0.16562149078030144,0.8945510226749812,0.9866711096301233
combo_Neptune_Pluto,0.07226119753238534,0.030547887609199027,0.041713309923186316,0.8733755414861712,0.10328407728701822,0.01562658847884539,0.08765748880817283,0.5521492835721427,133,0.19654775458330007,0.9380858009736103,0.9866711096301233
combo_Venus_Saturn_Neptune,0.17655370662295655,0.0010370873763410327,0.17551661924661552,0.26057980673108966,0.10272635832665286,0.009764573111049201,0.09296178521560367,0.5111629456847717,75,0.17860478595504345,0.8945510226749812,0.9866711096301233
combo_Neptune_Pluto_Moon,0.06727634482712028,0.015415780724292777,0.0518605641028275,0.7574141952682439,0.10194555357647565,0.011393611895298047,0.09055194168117761,0.4028657114295235,32,0.1566065960605307,0.9262952235294788,0.9866711096301233
combo_Mercury_Saturn_Pluto,0.09168510224047456,0.03351794118326916,0.0581671610572054,0.5964678440519827,0.10185792884887393,0.03601294466201458,0.06584498418685936,0.6164611796067977,174,0.30735897591951483,0.9262952235294788,0.9866711096301233
combo_Venus_Jupiter_Neptune,0.25482520619757043,0.059298953760956744,0.1955262524366137,0.1166277907364212,0.10154346004357447,0.010780163293123318,0.09076329675045115,0.6421192935688104,87,0.17893824346657403,0.8945510226749812,0.9866711096301233
